qseqid	General functional category	Functional category	DB ID	Protein description	DB description	EC number	KO	CDD ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B7Z8|A0B7Z8_METTP	METABOLISM	Amino acid transport and metabolism 	COG0747	ABC-type transport system, periplasmic component	ABC-type transport system, periplasmic component [Amino acid transport and metabolism]. 	3.1.3.26	K02035	CDD:440510	28.866	485.0	309.0	13.0	46.0	522.0	7.0	463.0	2.71e-107	325.0
tr|A0B8F2|A0B8F2_METTP	METABOLISM	Lipid transport and metabolism 	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase [Lipid transport and metabolism]. 	6.2.1.1	K01895,K01907,K01908	CDD:440134	57.913	575.0	230.0	5.0	92.0	666.0	1.0	563.0	0.0	953.0
tr|A0B8W6|A0B8W6_METTP	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG0638	20S proteasome, alpha and beta subunits	20S proteasome, alpha and beta subunits [Posttranslational modification, protein turnover, chaperones]. 	3.4.25.1		CDD:440403	56.889	225.0	94.0	3.0	1.0	224.0	7.0	229.0	2.79e-100	288.0
sp|A0B9K2|AATA_METTP	METABOLISM	Energy production and conversion 	COG1155	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1 [Energy production and conversion]. Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1 is part of the Pathway/BioSystem: A/V-type ATP synthase	3.6.3.14		CDD:440769	62.199	582.0	213.0	3.0	1.0	575.0	2.0	583.0	0.0	1080.0
tr|A0LE81|A0LE81_SYNFM	METABOLISM	Energy production and conversion 	COG1034	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G) [Energy production and conversion]. NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G) is part of the Pathway/BioSystem: NADH dehydrogenase	1.6.5.3	K00336	CDD:440657	41.534	313.0	175.0	2.0	6.0	318.0	2.0	306.0	4.09e-130	377.0
tr|A0LE82|A0LE82_SYNFM	POORLY CHARACTERIZED	General function prediction only 	COG3383	Predicted molibdopterin-dependent oxidoreductase YjgC	Predicted molibdopterin-dependent oxidoreductase YjgC [General function prediction only]. 	1.2.1.2	K00123,K00532,K00336	CDD:442610	51.321	530.0	255.0	3.0	1.0	528.0	154.0	682.0	0.0	786.0
tr|A0LE87|A0LE87_SYNFM	POORLY CHARACTERIZED	General function prediction only 	COG3383	Predicted molibdopterin-dependent oxidoreductase YjgC	Predicted molibdopterin-dependent oxidoreductase YjgC [General function prediction only]. 	1.2.1.2	K00123,K00532,K00336	CDD:442610	25.746	804.0	322.0	19.0	1.0	804.0	154.0	682.0	5.22e-112	353.0
tr|A0LE88|A0LE88_SYNFM	METABOLISM	Energy production and conversion 	COG0437	Fe-S-cluster-containing dehydrogenase component (DMSO reductase)	Fe-S-cluster-containing dehydrogenase component (DMSO reductase) [Energy production and conversion]. 	1.2.7.-	K04014,K00124	CDD:440206	33.005	203.0	112.0	5.0	1.0	203.0	2.0	180.0	3.5699999999999997e-48	153.0
sp|A0LEC9|ENO_SYNFM	METABOLISM	Carbohydrate transport and metabolism 	COG0148	Enolase	Enolase [Carbohydrate transport and metabolism]. Enolase is part of the Pathway/BioSystem: Glycolysis	4.2.1.11		CDD:439918	72.471	425.0	116.0	1.0	1.0	425.0	1.0	424.0	0.0	873.0
sp|A0LEH2|CH601_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG0459	Chaperonin GroEL (HSP60 family)	Chaperonin GroEL (HSP60 family) [Posttranslational modification, protein turnover, chaperones]. 	2.7.1.150		CDD:440227	63.019	530.0	158.0	3.0	1.0	527.0	1.0	495.0	0.0	794.0
tr|A0LEV9|A0LEV9_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG0443	Molecular chaperone DnaK (HSP70)	Molecular chaperone DnaK (HSP70) [Posttranslational modification, protein turnover, chaperones]. 	2.7.7.6	K01869,K01945,K01529	CDD:440212	62.008	508.0	157.0	6.0	4.0	510.0	1.0	473.0	0.0	719.0
tr|A0LEV9|A0LEV9_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG0443	Molecular chaperone DnaK (HSP70)	Molecular chaperone DnaK (HSP70) [Posttranslational modification, protein turnover, chaperones]. 	6.1.1.16	K01869,K01945,K01529	CDD:440212	62.008	508.0	157.0	6.0	4.0	510.0	1.0	473.0	0.0	719.0
tr|A0LEY5|A0LEY5_SYNFM	METABOLISM	Inorganic ion transport and metabolism 	COG0226	ABC-type phosphate transport system, periplasmic component	ABC-type phosphate transport system, periplasmic component [Inorganic ion transport and metabolism]. 		K02040	CDD:439996	37.023	262.0	148.0	6.0	37.0	281.0	1.0	262.0	3.16e-75	228.0
tr|A0LF13|A0LF13_SYNFM	METABOLISM	Amino acid transport and metabolism 	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	ABC-type branched-chain amino acid transport system, periplasmic component [Amino acid transport and metabolism]. 	2.7.10.-	K01999,K01423	CDD:440447	29.775	356.0	206.0	5.0	25.0	378.0	1.0	314.0	3.38e-80	246.0
tr|A0LF38|A0LF38_SYNFM	METABOLISM	Energy production and conversion 	COG0426	Flavorubredoxin	Flavorubredoxin [Energy production and conversion]. 	1.-.-.-		CDD:440195	34.722	144.0	91.0	2.0	3.0	144.0	248.0	390.0	1.01e-32	116.0
tr|A0LFF3|A0LFF3_SYNFM	METABOLISM	Amino acid transport and metabolism 	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	4-hydroxyphenylpyruvate dioxygenase and related hemolysins [Amino acid transport and metabolism, General function prediction only]. 	1.13.11.27	K00457	CDD:442418	40.397	151.0	69.0	6.0	1.0	130.0	142.0	292.0	1.39e-41	137.0
tr|A0LFF3|A0LFF3_SYNFM	POORLY CHARACTERIZED	General function prediction only 	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	4-hydroxyphenylpyruvate dioxygenase and related hemolysins [Amino acid transport and metabolism, General function prediction only]. 	1.13.11.27	K00457	CDD:442418	40.397	151.0	69.0	6.0	1.0	130.0	142.0	292.0	1.39e-41	137.0
tr|A0LFF3|A0LFF3_SYNFM	METABOLISM	Amino acid transport and metabolism 	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	4-hydroxyphenylpyruvate dioxygenase and related hemolysins [Amino acid transport and metabolism, General function prediction only]. 	1.13.11.27	K00457	CDD:442418	29.688	64.0	42.0	1.0	53.0	116.0	44.0	104.0	1.88e-09	51.4
tr|A0LFF3|A0LFF3_SYNFM	POORLY CHARACTERIZED	General function prediction only 	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	4-hydroxyphenylpyruvate dioxygenase and related hemolysins [Amino acid transport and metabolism, General function prediction only]. 	1.13.11.27	K00457	CDD:442418	29.688	64.0	42.0	1.0	53.0	116.0	44.0	104.0	1.88e-09	51.4
tr|A0LFF5|A0LFF5_SYNFM	METABOLISM	Lipid transport and metabolism 	COG2185	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding) [Lipid transport and metabolism]. 	5.4.99.2		CDD:441788	53.125	128.0	60.0	0.0	1.0	128.0	7.0	134.0	1.2e-64	190.0
tr|A0LFF6|A0LFF6_SYNFM	METABOLISM	Lipid transport and metabolism 	COG1884	Methylmalonyl-CoA mutase, N-terminal domain/subunit	Methylmalonyl-CoA mutase, N-terminal domain/subunit [Lipid transport and metabolism]. 	5.4.99.2		CDD:441488	64.03	531.0	191.0	0.0	25.0	555.0	1.0	531.0	0.0	1001.0
tr|A0LFF9|A0LFF9_SYNFM	METABOLISM	Lipid transport and metabolism 	COG0511	Biotin carboxyl carrier protein	Biotin carboxyl carrier protein [Lipid transport and metabolism]. Biotin carboxyl carrier protein is part of the Pathway/BioSystem: Fatty acid biosynthesis		K01615,K01606,K02160	CDD:440277	41.772	79.0	39.0	1.0	590.0	661.0	58.0	136.0	3.8200000000000005e-27	104.0
tr|A0LFF9|A0LFF9_SYNFM	METABOLISM	Energy production and conversion 	COG5016	Pyruvate/oxaloacetate carboxyltransferase	Pyruvate/oxaloacetate carboxyltransferase [Energy production and conversion]. Pyruvate/oxaloacetate carboxyltransferase is part of the Pathway/BioSystem: Urea cycle	4.1.1.3	K01571,K01960	CDD:444040	49.719	533.0	248.0	6.0	25.0	557.0	2.0	514.0	0.0	710.0
tr|A0LFJ0|A0LFJ0_SYNFM	METABOLISM	Inorganic ion transport and metabolism 	COG1629	Outer membrane receptor protein, Fe transport	Outer membrane receptor protein, Fe transport [Inorganic ion transport and metabolism]. 		K03546,K09607,K01814,K02014	CDD:441236	24.821	697.0	451.0	15.0	60.0	747.0	1.0	633.0	1.31e-105	334.0
tr|A0LFV7|A0LFV7_SYNFM	METABOLISM	Energy production and conversion 	COG0243	Anaerobic selenocysteine-containing dehydrogenase	Anaerobic selenocysteine-containing dehydrogenase [Energy production and conversion]. 			CDD:440013	27.202	772.0	405.0	29.0	46.0	790.0	17.0	658.0	1.07e-118	371.0
tr|A0LFX1|A0LFX1_SYNFM	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.-		CDD:440354	41.304	138.0	79.0	2.0	1.0	138.0	1.0	136.0	6.3e-42	133.0
tr|A0LFX1|A0LFX1_SYNFM	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.1		CDD:440354	41.304	138.0	79.0	2.0	1.0	138.0	1.0	136.0	6.3e-42	133.0
tr|A0LG79|A0LG79_SYNFM	INFORMATION STORAGE AND PROCESSING	Transcription 	COG1278	Cold shock protein, CspA family	Cold shock protein, CspA family [Transcription]. 			CDD:440889	59.701	67.0	26.0	1.0	1.0	66.0	1.0	67.0	6.43e-33	104.0
tr|A0LGH9|A0LGH9_SYNFM	METABOLISM	Amino acid transport and metabolism 	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	ABC-type branched-chain amino acid transport system, periplasmic component [Amino acid transport and metabolism]. 	2.7.10.-	K01999,K01423	CDD:440447	33.898	354.0	188.0	8.0	21.0	371.0	1.0	311.0	7.12e-82	249.0
tr|A0LGK7|A0LGK7_SYNFM	METABOLISM	Amino acid transport and metabolism 	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	ABC-type branched-chain amino acid transport system, periplasmic component [Amino acid transport and metabolism]. 	2.7.10.-	K01999,K01423	CDD:440447	34.561	353.0	186.0	6.0	26.0	372.0	1.0	314.0	4.68e-80	245.0
tr|A0LH28|A0LH28_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG0443	Molecular chaperone DnaK (HSP70)	Molecular chaperone DnaK (HSP70) [Posttranslational modification, protein turnover, chaperones]. 	2.7.7.6	K01869,K01945,K01529	CDD:440212	65.323	496.0	142.0	4.0	4.0	498.0	1.0	467.0	0.0	790.0
tr|A0LH28|A0LH28_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG0443	Molecular chaperone DnaK (HSP70)	Molecular chaperone DnaK (HSP70) [Posttranslational modification, protein turnover, chaperones]. 	6.1.1.16	K01869,K01945,K01529	CDD:440212	65.323	496.0	142.0	4.0	4.0	498.0	1.0	467.0	0.0	790.0
tr|A0LH39|A0LH39_SYNFM	METABOLISM	Nucleotide transport and metabolism 	COG1146	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit [Nucleotide transport and metabolism]. 		K00176	CDD:440761	35.714	70.0	40.0	1.0	1.0	70.0	1.0	65.0	9.95e-17	67.0
tr|A0LH40|A0LH40_SYNFM	METABOLISM	Coenzyme transport and metabolism 	COG0029	Aspartate oxidase	Aspartate oxidase [Coenzyme transport and metabolism]. Aspartate oxidase is part of the Pathway/BioSystem: NAD biosynthesis	1.4.3.16		CDD:439800	20.827	677.0	293.0	40.0	9.0	609.0	3.0	512.0	1.57e-18	85.9
tr|A0LHL3|A0LHL3_SYNFM	METABOLISM	Lipid transport and metabolism 	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	Acetyl-CoA carboxylase, carboxyltransferase component [Lipid transport and metabolism]. 		K01615,K01966,K01969	CDD:443827	54.012	511.0	230.0	3.0	5.0	515.0	3.0	508.0	0.0	866.0
tr|A0LHS6|A0LHS6_SYNFM	METABOLISM	Energy production and conversion 	COG1148	Heterodisulfide reductase, subunit A (polyferredoxin)	Heterodisulfide reductase, subunit A (polyferredoxin) [Energy production and conversion]. 	1.8.98.1	K00345,K00443	CDD:440762	36.634	606.0	329.0	12.0	3.0	597.0	2.0	563.0	0.0	688.0
tr|A0LHS6|A0LHS6_SYNFM	METABOLISM	Energy production and conversion 	COG1908	Coenzyme F420-reducing hydrogenase, delta subunit	Coenzyme F420-reducing hydrogenase, delta subunit [Energy production and conversion]. 	1.12.99.-		CDD:441512	43.165	139.0	76.0	1.0	599.0	737.0	1.0	136.0	2.35e-63	204.0
tr|A0LHS7|A0LHS7_SYNFM	METABOLISM	Energy production and conversion 	COG1148	Heterodisulfide reductase, subunit A (polyferredoxin)	Heterodisulfide reductase, subunit A (polyferredoxin) [Energy production and conversion]. 	1.8.98.1	K00345,K00443	CDD:440762	39.953	428.0	163.0	7.0	4.0	420.0	138.0	482.0	8.189999999999999e-159	457.0
sp|A0LI20|RISB_SYNFM	METABOLISM	Coenzyme transport and metabolism 	COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) [Coenzyme transport and metabolism]. 6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) is part of the Pathway/BioSystem: Riboflavin/FAD biosynthesis	2.5.1.78		CDD:439824	69.079	152.0	47.0	0.0	3.0	154.0	1.0	152.0	1.17e-96	272.0
tr|A0LI60|A0LI60_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	COG0694	Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain	Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain [Posttranslational modification, protein turnover, chaperones]. 	3.1.3.16		CDD:440458	61.429	70.0	26.0	1.0	1.0	69.0	105.0	174.0	5.58e-31	103.0
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	COG0050	Translation elongation factor EF-Tu, a GTPase	Translation elongation factor EF-Tu, a GTPase [Translation, ribosomal structure and biogenesis]. Translation elongation factor EF-Tu, a GTPase is part of the Pathway/BioSystem: Translation factors		K02358	CDD:439820	79.597	397.0	80.0	1.0	1.0	397.0	1.0	396.0	0.0	838.0
sp|A0LIJ6|RS3_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	COG0092	Ribosomal protein S3	Ribosomal protein S3 [Translation, ribosomal structure and biogenesis]. Ribosomal protein S3 is part of the Pathway/BioSystem: Ribosome 30S subunit			CDD:439862	69.856	209.0	62.0	1.0	1.0	208.0	1.0	209.0	5.940000000000001e-144	397.0
tr|A0LIW6|A0LIW6_SYNFM	METABOLISM	Amino acid transport and metabolism 	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	ABC-type branched-chain amino acid transport system, periplasmic component [Amino acid transport and metabolism]. 	2.7.10.-	K01999,K01423	CDD:440447	31.492	362.0	195.0	8.0	29.0	385.0	1.0	314.0	4.8999999999999997e-82	250.0
tr|A0LIW7|A0LIW7_SYNFM	POORLY CHARACTERIZED	General function prediction only 	COG4747	ACT domain-containing protein	ACT domain-containing protein [General function prediction only]. 			CDD:443781	65.116	129.0	45.0	0.0	4.0	132.0	1.0	129.0	4.24e-74	214.0
tr|A0LIY7|A0LIY7_SYNFM	METABOLISM	Energy production and conversion 	COG0074	Succinyl-CoA synthetase, alpha subunit	Succinyl-CoA synthetase, alpha subunit [Energy production and conversion]. Succinyl-CoA synthetase, alpha subunit is part of the Pathway/BioSystem: TCA cycle	6.2.1.5	K01902	CDD:439844	69.097	288.0	89.0	0.0	2.0	289.0	1.0	288.0	0.0	543.0
sp|A0LIY8|SUCC_SYNFM	METABOLISM	Energy production and conversion 	COG0045	Succinyl-CoA synthetase, beta subunit	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. Succinyl-CoA synthetase, beta subunit is part of the Pathway/BioSystem: TCA cycle	6.2.1.5	K01906	CDD:439815	63.66	388.0	140.0	1.0	1.0	388.0	1.0	387.0	0.0	662.0
tr|A0LJ75|A0LJ75_SYNFM	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.-		CDD:440354	24.342	152.0	93.0	5.0	8.0	157.0	5.0	136.0	5.33e-18	76.1
tr|A0LJ75|A0LJ75_SYNFM	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.1		CDD:440354	24.342	152.0	93.0	5.0	8.0	157.0	5.0	136.0	5.33e-18	76.1
tr|A0LJ75|A0LJ75_SYNFM	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.-		CDD:440354	30.597	134.0	82.0	4.0	164.0	297.0	3.0	125.0	2.2e-15	68.8
tr|A0LJ75|A0LJ75_SYNFM	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	COG0589	Nucleotide-binding universal stress protein,  UspA family	Nucleotide-binding universal stress protein,  UspA family [Signal transduction mechanisms]. 	2.7.11.1		CDD:440354	30.597	134.0	82.0	4.0	164.0	297.0	3.0	125.0	2.2e-15	68.8
tr|A0LJ79|A0LJ79_SYNFM	METABOLISM	Energy production and conversion 	COG1148	Heterodisulfide reductase, subunit A (polyferredoxin)	Heterodisulfide reductase, subunit A (polyferredoxin) [Energy production and conversion]. 	1.8.98.1	K00345,K00443	CDD:440762	47.1	569.0	278.0	9.0	16.0	570.0	3.0	562.0	0.0	718.0
