qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	27.374	179.0	119.0	5.0	68.0	238.0	55.0	230.0	2.59e-16	77.1
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	27.083	144.0	91.0	5.0	656.0	797.0	1.0	132.0	1.26e-15	75.1
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	23.938	259.0	165.0	11.0	93.0	345.0	1.0	233.0	1.72e-15	74.7
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	22.593	270.0	152.0	16.0	287.0	542.0	7.0	233.0	2.48e-15	74.4
tr|A0B7J1|A0B7J1_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	25.128	195.0	115.0	7.0	614.0	790.0	3.0	184.0	1.57e-14	72.1
tr|A0B7J2|A0B7J2_METTP	pfam02514	cobaltochelatase subunit CobN	CobN/Magnesium Chelatase. This family contains a domain common to the cobN protein and to magnesium protoporphyrin chelatase. CobN is implicated in the conversion of hydrogenobyrinic acid a,c-diamide to cobyrinic acid. Magnesium protoporphyrin chelatase is involved in chlorophyll biosynthesis.		CDD:426809	cellular organisms	131567	42.21	1104.0	552.0	24.0	610.0	1684.0	3.0	1049.0	0.0	1279.0
tr|A0B7J2|A0B7J2_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	25.66	265.0	153.0	11.0	93.0	351.0	5.0	231.0	2.65e-34	130.0
tr|A0B7J2|A0B7J2_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	25.328	229.0	144.0	9.0	176.0	383.0	1.0	223.0	1.0500000000000001e-29	117.0
tr|A0B7J2|A0B7J2_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	21.429	238.0	147.0	10.0	258.0	463.0	4.0	233.0	3.1e-25	104.0
tr|A0B7J2|A0B7J2_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	24.155	207.0	133.0	9.0	39.0	234.0	40.0	233.0	4.99e-16	77.4
tr|A0B7J2|A0B7J2_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	28.947	114.0	78.0	2.0	294.0	406.0	1.0	112.0	6.41e-15	74.4
tr|A0B7J2|A0B7J2_METTP	pfam13360	PQQ-binding-like beta-propeller repeat protein	PQQ-like domain. This domain contains several repeats of the PQQ repeat.		CDD:433144	cellular organisms	131567	26.061	165.0	89.0	7.0	38.0	191.0	89.0	231.0	1.89e-09	58.2
tr|A0B7N6|A0B7N6_METTP	pfam04055	radical SAM protein	Radical SAM superfamily. Radical SAM proteins catalyze diverse reactions, including unusual methylations, isomerization, sulphur insertion, ring formation, anaerobic oxidation and protein radical formation.		CDD:427681	cellular organisms	131567	25.301	166.0	105.0	8.0	79.0	233.0	2.0	159.0	9.44e-17	74.5
tr|A0B7T7|A0B7T7_METTP	pfam01568	Molydopterin dinucleotide binding domain (Provisional)	Molydopterin dinucleotide binding domain. This domain is found in various molybdopterin - containing oxidoreductases and tungsten formylmethanofuran dehydrogenase subunit d (FwdD) and molybdenum formylmethanofuran dehydrogenase subunit (FmdD); where the domain constitutes almost the entire subunit. The formylmethanofuran dehydrogenase catalyzes the first step in methane formation from CO2 in methanogenic archaea and has a molybdopterin dinucleotide cofactor. This domain corresponds to the C-terminal domain IV in dimethyl sulfoxide (DMSO)reductase which interacts with the 2-amino pyrimidone ring of both molybdopterin guanine dinucleotide molecules.		CDD:426328	cellular organisms	131567	34.286	105.0	60.0	3.0	6.0	101.0	4.0	108.0	3.27e-19	74.6
tr|A0B7Z8|A0B7Z8_METTP	pfam00496	Bacterial extracellular solute-binding proteins, family 5 Middle (Provisional)	Bacterial extracellular solute-binding proteins, family 5 Middle. The borders of this family are based on the PDBSum definitions of the domain edges for Swiss:P06202.		CDD:425718	cellular organisms	131567	30.163	368.0	227.0	10.0	75.0	434.0	7.0	352.0	1.8600000000000002e-77	246.0
tr|A0B8F2|A0B8F2_METTP	pfam00501	AMP-binding protein	AMP-binding enzyme. 		CDD:459834	cellular organisms	131567	31.36	456.0	263.0	14.0	106.0	550.0	1.0	417.0	5.719999999999999e-113	344.0
tr|A0B8F2|A0B8F2_METTP	pfam13193	AMP-binding enzyme C-terminal domain (Provisional)	AMP-binding enzyme C-terminal domain. This is a small domain that is found C terminal to pfam00501. It has a central beta sheet core that is flanked by alpha helices.		CDD:463804	cellular organisms	131567	67.089	79.0	23.0	1.0	558.0	636.0	1.0	76.0	1.26e-33	121.0
tr|A0B8F2|A0B8F2_METTP	pfam16177	Acetyl-coenzyme A synthetase N-terminus (Provisional)	Acetyl-coenzyme A synthetase N-terminus. This domain is found at the N-terminus of many acetyl-coenzyme A synthetase enzymes.		CDD:465043	cellular organisms	131567	40.0	55.0	31.0	2.0	52.0	105.0	2.0	55.0	4.7e-17	73.7
tr|A0B8W6|A0B8W6_METTP	pfam00227	Proteasome subunit (Provisional)	Proteasome subunit. The proteasome is a multisubunit structure that degrades proteins. Protein degradation is an essential component of regulation because proteins can become misfolded, damaged, or unnecessary. Proteasomes and their homologs vary greatly in complexity: from HslV (heat shock locus v), which is encoded by 1 gene in bacteria, to the eukaryotic 20S proteasome, which is encoded by more than 14 genes. Recently evidence of two novel groups of bacterial proteasomes was proposed. The first is Anbu, which is sparsely distributed among cyanobacteria and proteobacteria. The second is call beta-proteobacteria proteasome homolog (BPH).		CDD:459721	cellular organisms	131567	49.735	189.0	90.0	4.0	26.0	210.0	1.0	188.0	1.89e-64	197.0
tr|A0B8W6|A0B8W6_METTP	pfam10584	Proteasome subunit A N-terminal signature (Provisional)	Proteasome subunit A N-terminal signature. This domain is conserved in the A subunits of the proteasome complex proteins.		CDD:463156	cellular organisms	131567	82.609	23.0	4.0	0.0	3.0	25.0	1.0	23.0	2.62e-12	57.4
sp|A0B9K2|AATA_METTP	pfam00006	ATP synthase alpha/beta family, nucleotide-binding domain (Provisional)	ATP synthase alpha/beta family, nucleotide-binding domain. This entry includes the ATP synthase alpha and beta subunits, the ATP synthase associated with flagella and the termination factor Rho.		CDD:425417	cellular organisms	131567	39.189	222.0	125.0	2.0	208.0	429.0	1.0	212.0	9.430000000000001e-107	317.0
sp|A0B9K2|AATA_METTP	pfam16886	ATPsynthase alpha/beta subunit N-term extension (Provisional)	ATPsynthase alpha/beta subunit N-term extension. ATP-synt_ab_Xtn is an extension of the alpha-beta catalytic subunit of VATA or V-type proton ATPase catalytic subunit at the N-terminal end. It is found from bacteria to humans, and was not modelled in family ATP-synt_ab, pfam00006.		CDD:465299	cellular organisms	131567	55.372	121.0	49.0	3.0	83.0	199.0	1.0	120.0	1.11e-59	192.0
sp|A0B9K2|AATA_METTP	pfam02874	ATP synthase alpha/beta family, beta-barrel domain (Provisional)	ATP synthase alpha/beta family, beta-barrel domain. This family includes the ATP synthase alpha and beta subunits the ATP synthase associated with flagella.		CDD:427029	cellular organisms	131567	33.333	69.0	39.0	2.0	6.0	67.0	1.0	69.0	7.74e-11	56.0
tr|A0LE81|A0LE81_SYNFM	pfam13510	(2Fe-2S)-binding protein	2Fe-2S iron-sulfur cluster binding domain. The 2Fe-2S ferredoxin family have a general core structure consisting of beta(2)-alpha-beta(2) which a beta-grasp type fold. The domain is around one hundred amino acids with four conserved cysteine residues to which the 2Fe-2S cluster is ligated. This cluster appears within sarcosine oxidase proteins.		CDD:433268	cellular organisms	131567	34.118	85.0	46.0	4.0	6.0	86.0	4.0	82.0	6.17e-18	75.7
tr|A0LE81|A0LE81_SYNFM	pfam12838	4Fe-4S dicluster domain-containing protein	4Fe-4S dicluster domain. Superfamily includes proteins containing domains which bind to iron-sulfur clusters. Members include bacterial ferredoxins, various dehydrogenases, and various reductases. Structure of the domain is an alpha-antiparallel beta sandwich. Domain contains two 4Fe4S clusters.		CDD:463724	cellular organisms	131567	37.931	58.0	29.0	2.0	155.0	212.0	1.0	51.0	2.36e-08	47.9
tr|A0LE81|A0LE81_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LE81|A0LE81_SYNFM	pfam10588	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region (Provisional)	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region. 		CDD:463159	cellular organisms	131567	55.0	40.0	18.0	0.0	92.0	131.0	1.0	40.0	2e-15	67.5
tr|A0LE81|A0LE81_SYNFM	pfam04879	Molybdopterin oxidoreductase Fe4S4 domain (Provisional)	Molybdopterin oxidoreductase Fe4S4 domain. This domain is found in formate dehydrogenase H for which the structure is known. This first domain (residues 1 to 60) of PDB:1aa6 is an Fe4S4 cluster just below the protein surface.		CDD:428168	cellular organisms	131567	65.455	55.0	19.0	0.0	227.0	281.0	1.0	55.0	8.790000000000001e-21	82.7
tr|A0LE82|A0LE82_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LE82|A0LE82_SYNFM	pfam01568	Molydopterin dinucleotide binding domain (Provisional)	Molydopterin dinucleotide binding domain. This domain is found in various molybdopterin - containing oxidoreductases and tungsten formylmethanofuran dehydrogenase subunit d (FwdD) and molybdenum formylmethanofuran dehydrogenase subunit (FmdD); where the domain constitutes almost the entire subunit. The formylmethanofuran dehydrogenase catalyzes the first step in methane formation from CO2 in methanogenic archaea and has a molybdopterin dinucleotide cofactor. This domain corresponds to the C-terminal domain IV in dimethyl sulfoxide (DMSO)reductase which interacts with the 2-amino pyrimidone ring of both molybdopterin guanine dinucleotide molecules.		CDD:426328	cellular organisms	131567	44.144	111.0	57.0	2.0	416.0	522.0	1.0	110.0	8.3e-31	113.0
tr|A0LE87|A0LE87_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LE87|A0LE87_SYNFM	pfam01568	Molydopterin dinucleotide binding domain (Provisional)	Molydopterin dinucleotide binding domain. This domain is found in various molybdopterin - containing oxidoreductases and tungsten formylmethanofuran dehydrogenase subunit d (FwdD) and molybdenum formylmethanofuran dehydrogenase subunit (FmdD); where the domain constitutes almost the entire subunit. The formylmethanofuran dehydrogenase catalyzes the first step in methane formation from CO2 in methanogenic archaea and has a molybdopterin dinucleotide cofactor. This domain corresponds to the C-terminal domain IV in dimethyl sulfoxide (DMSO)reductase which interacts with the 2-amino pyrimidone ring of both molybdopterin guanine dinucleotide molecules.		CDD:426328	cellular organisms	131567	37.838	111.0	57.0	5.0	687.0	797.0	11.0	109.0	7.26e-19	80.8
tr|A0LE88|A0LE88_SYNFM	pfam13247	4Fe-4S dicluster domain (Provisional)	4Fe-4S dicluster domain. Superfamily includes proteins containing domains which bind to iron-sulfur clusters. Members include bacterial ferredoxins, various dehydrogenases, and various reductases. Structure of the domain is an alpha-antiparallel beta sandwich. Domain contains two 4Fe4S clusters.		CDD:404184	cellular organisms	131567	48.039	102.0	49.0	2.0	68.0	169.0	2.0	99.0	3.46e-44	141.0
sp|A0LEC9|ENO_SYNFM	pfam03952	Enolase, N-terminal domain (Provisional)	Enolase, N-terminal domain. 		CDD:461105	cellular organisms	131567	72.519	131.0	36.0	0.0	4.0	134.0	1.0	131.0	5.32e-78	236.0
sp|A0LEC9|ENO_SYNFM	cl21457		TIM-like beta/alpha barrel domains. This domain includes the enzyme Phosphoenolpyruvate phosphomutase (EC:5.4.2.9). This protein Swiss:O86937 has been characterized as catalysing the formation of a carbon-phosphorus bond by converting phosphoenolpyruvate (PEP) to phosphonopyruvate (P-Pyr). This enzyme has a TIM barrel fold.		CDD:473867												
sp|A0LEH2|CH601_SYNFM	pfam00118	TCP-1/cpn60 chaperonin family (Provisional)	TCP-1/cpn60 chaperonin family. This family includes members from the HSP60 chaperone family and the TCP-1 (T-complex protein) family.		CDD:395068	cellular organisms	131567	24.359	546.0	311.0	15.0	22.0	522.0	1.0	489.0	1.38e-84	269.0
tr|A0LEV9|A0LEV9_SYNFM	pfam00012	Hsp70 family protein	Hsp70 protein. Hsp70 chaperones help to fold many proteins. Hsp70 assisted folding involves repeated cycles of substrate binding and release. Hsp70 activity is ATP dependent. Hsp70 proteins are made up of two regions: the amino terminus is the ATPase domain and the carboxyl terminus is the substrate binding region.		CDD:394970	cellular organisms	131567	59.37	603.0	232.0	9.0	4.0	599.0	1.0	597.0	0.0	841.0
tr|A0LEY5|A0LEY5_SYNFM	pfam12849	substrate-binding domain-containing protein	PBP superfamily domain. This domain belongs to the periplasmic binding protein superfamily.		CDD:432831	cellular organisms	131567	29.231	260.0	150.0	6.0	40.0	267.0	10.0	267.0	2.3800000000000003e-37	131.0
tr|A0LF13|A0LF13_SYNFM	pfam13458	ABC transporter substrate-binding protein	Periplasmic binding protein. This family includes a diverse range of periplasmic binding proteins.		CDD:433225	cellular organisms	131567	28.613	346.0	240.0	3.0	27.0	371.0	1.0	340.0	6.139999999999999e-61	198.0
tr|A0LF20|A0LF20_SYNFM	pfam11746	DUF3303 family protein	Domain of unknown function (DUF3303). Several members are annotated as being LysM domain-like proteins, but these did not match any LysM domains reported in the literature.		CDD:463340	cellular organisms	131567	35.87	92.0	56.0	2.0	1.0	89.0	1.0	92.0	2.3700000000000003e-21	78.4
tr|A0LF38|A0LF38_SYNFM	pfam12724	Flavodoxin domain (Provisional)	Flavodoxin domain. This is a family of flavodoxins. Flavodoxins are electron transfer proteins that carry a molecule of non-covalently bound FMN.		CDD:463681	cellular organisms	131567	40.678	59.0	31.0	2.0	5.0	63.0	1.0	55.0	1.04e-08	49.2
tr|A0LF38|A0LF38_SYNFM	pfam00258	flavodoxin domain-containing protein	Flavodoxin. 		CDD:425562	cellular organisms	131567	18.881	143.0	104.0	4.0	6.0	137.0	1.0	142.0	4.42e-06	42.0
tr|A0LFF3|A0LFF3_SYNFM	pfam13669	VOC family protein	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily. 		CDD:463951	cellular organisms	131567	36.283	113.0	66.0	2.0	7.0	117.0	1.0	109.0	1.39e-30	103.0
tr|A0LFF5|A0LFF5_SYNFM	pfam02310	cobalamin-dependent protein	B12 binding domain. This domain binds to B12 (adenosylcobamide), it is found in several enzymes, such as glutamate mutase, methionine synthase and methylmalonyl-CoA mutase. It contains a conserved DxHxxGx(41)SxVx(26)GG motif, which is important for B12 binding.		CDD:426713	cellular organisms	131567	32.231	121.0	78.0	2.0	5.0	122.0	1.0	120.0	1.27e-25	91.6
tr|A0LFF6|A0LFF6_SYNFM	pfam01642	Methylmalonyl-CoA mutase (Provisional)	Methylmalonyl-CoA mutase. The enzyme methylmalonyl-CoA mutase is a member of a class of enzymes that uses coenzyme B12 (adenosylcobalamin) as a cofactor. The enzyme induces the formation of an adenosyl radical from the cofactor. This radical then initiates a free-radical rearrangement of its substrate, succinyl-CoA, to methylmalonyl-CoA.		CDD:460279	cellular organisms	131567	59.961	507.0	198.0	2.0	37.0	542.0	1.0	503.0	0.0	846.0
tr|A0LFF9|A0LFF9_SYNFM	pfam00364	Biotin-requiring enzyme (Provisional)	Biotin-requiring enzyme. This family covers two Prosite entries, the conserved lysine residue binds biotin in one group and lipoic acid in the other. Note that the HMM does not currently recognize the Glycine cleavage system H proteins.		CDD:395290	cellular organisms	131567	46.377	69.0	32.0	1.0	597.0	660.0	5.0	73.0	2.3000000000000004e-21	86.5
tr|A0LFF9|A0LFF9_SYNFM	pfam00682	HMGL-like (Provisional)	HMGL-like. This family contains a diverse set of enzymes. These include various aldolases and a region of pyruvate carboxylase.		CDD:459902	cellular organisms	131567	23.741	278.0	186.0	6.0	27.0	296.0	2.0	261.0	1.9000000000000002e-43	155.0
tr|A0LFF9|A0LFF9_SYNFM	pfam02436	Conserved carboxylase domain (Provisional)	Conserved carboxylase domain. This domain represents a conserved region in pyruvate carboxylase (PYC), oxaloacetate decarboxylase alpha chain (OADA), and transcarboxylase 5s subunit. The domain is found adjacent to the HMGL-like domain (pfam00682) and often close to the biotin_lipoyl domain (pfam00364) of biotin requiring enzymes.		CDD:460557	cellular organisms	131567	43.75	176.0	83.0	6.0	321.0	484.0	1.0	172.0	4.4500000000000006e-58	192.0
tr|A0LFH3|A0LFH3_SYNFM	pfam20389		Family of unknown function (DUF6684). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria and archaea. Proteins in this family are typically between 77 and 127 amino acids in length.		CDD:466538			21.795	78.0	49.0	3.0	1.0	70.0	1.0	74.0	9.75e-16	64.5
tr|A0LFJ0|A0LFJ0_SYNFM	pfam00593	TonB-dependent receptor	TonB dependent receptor. This model now only covers the conserved part of the barrel structure.		CDD:395474	Bacteria	2	22.774	483.0	338.0	10.0	297.0	761.0	10.0	475.0	6.69e-44	163.0
tr|A0LFJ0|A0LFJ0_SYNFM	pfam07715	TonB-dependent receptor plug domain-containing protein	TonB-dependent Receptor Plug Domain. The Plug domain has been shown to be an independently folding subunit of the TonB-dependent receptors. It acts as the channel gate, blocking the pore until the channel is bound by ligand. At this point it under goes conformational changes opens the channel.		CDD:462243	Bacteria	2	44.037	109.0	59.0	2.0	73.0	181.0	1.0	107.0	2.0800000000000002e-29	110.0
tr|A0LFV7|A0LFV7_SYNFM	pfam04879	Molybdopterin oxidoreductase Fe4S4 domain (Provisional)	Molybdopterin oxidoreductase Fe4S4 domain. This domain is found in formate dehydrogenase H for which the structure is known. This first domain (residues 1 to 60) of PDB:1aa6 is an Fe4S4 cluster just below the protein surface.		CDD:428168	cellular organisms	131567	37.5	56.0	32.0	2.0	50.0	104.0	1.0	54.0	9.54e-13	61.5
tr|A0LFV7|A0LFV7_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LFV7|A0LFV7_SYNFM	cl09929		N/A. This domain is found in various molybdopterin - containing oxidoreductases and tungsten formylmethanofuran dehydrogenase subunit d (FwdD) and molybdenum formylmethanofuran dehydrogenase subunit (FmdD); where the domain constitutes almost the entire subunit. The formylmethanofuran dehydrogenase catalyzes the first step in methane formation from CO2 in methanogenic archaea and has a molybdopterin dinucleotide cofactor. This domain corresponds to the C-terminal domain IV in dimethyl sulfoxide (DMSO)reductase which interacts with the 2-amino pyrimidone ring of both molybdopterin guanine dinucleotide molecules.		CDD:447861												
tr|A0LFX1|A0LFX1_SYNFM	pfam00582	universal stress protein	"Universal stress protein family. The universal stress protein UspA is a small cytoplasmic bacterial protein whose expression is enhanced when the cell is exposed to stress agents. UspA enhances the rate of cell survival during prolonged exposure to such conditions, and may provide a general ""stress endurance"" activity. The crystal structure of Haemophilus influenzae UspA reveals an alpha/beta fold similar to that of the Methanococcus jannaschii MJ0577 protein, which binds ATP, though UspA lacks ATP-binding activity."		CDD:425765	cellular organisms	131567	39.855	138.0	79.0	2.0	5.0	139.0	1.0	137.0	3.21e-30	104.0
tr|A0LG79|A0LG79_SYNFM	pfam00313	cold shock domain-containing protein	'Cold-shock' DNA-binding domain. 		CDD:278729	cellular organisms	131567	64.062	64.0	22.0	1.0	4.0	66.0	3.0	66.0	1.4900000000000002e-27	92.3
tr|A0LGH9|A0LGH9_SYNFM	pfam13458	ABC transporter substrate-binding protein	Periplasmic binding protein. This family includes a diverse range of periplasmic binding proteins.		CDD:433225	cellular organisms	131567	26.0	350.0	245.0	8.0	23.0	367.0	1.0	341.0	4.6e-51	172.0
tr|A0LGK7|A0LGK7_SYNFM	pfam13458	ABC transporter substrate-binding protein	Periplasmic binding protein. This family includes a diverse range of periplasmic binding proteins.		CDD:433225	cellular organisms	131567	25.0	348.0	243.0	9.0	28.0	365.0	1.0	340.0	1.12e-46	160.0
tr|A0LH28|A0LH28_SYNFM	pfam00012	Hsp70 family protein	Hsp70 protein. Hsp70 chaperones help to fold many proteins. Hsp70 assisted folding involves repeated cycles of substrate binding and release. Hsp70 activity is ATP dependent. Hsp70 proteins are made up of two regions: the amino terminus is the ATPase domain and the carboxyl terminus is the substrate binding region.		CDD:394970	cellular organisms	131567	66.223	601.0	195.0	6.0	4.0	599.0	1.0	598.0	0.0	963.0
