qseqid	General functional category	Functional category	DB ID	Protein description	DB description	CDD ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|A0LEV9|A0LEV9_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0101	Molecular chaperones HSP70/HSC70, HSP70 superfamily	KOG0101, Molecular chaperones HSP70/HSC70, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228052	47.412	599	290	8	1	579	6	599	0.0	532.0
tr|A0LEV9|A0LEV9_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0103	Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily	KOG0103, Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228054	37.366	372	214	6	5	363	4	369	2.7400000000000002e-70	239.0
tr|A0LEV9|A0LEV9_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0104	Molecular chaperones GRP170/SIL1, HSP70 superfamily	KOG0104, Molecular chaperones GRP170/SIL1, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228055	25.574	653	402	22	2	596	22	648	3.37e-55	199.0
tr|A0LFF3|A0LFF3_SYNFM	METABOLISM	Carbohydrate transport and metabolism 	KOG2944	Glyoxalase	KOG2944, Glyoxalase [Carbohydrate transport and metabolism]	CDD:230883	22.222	135	93	6	5	133	42	170	1.66e-12	58.6
tr|A0LFF3|A0LFF3_SYNFM	METABOLISM	Amino acid transport and metabolism 	KOG0638	4-hydroxyphenylpyruvate dioxygenase	KOG0638, 4-hydroxyphenylpyruvate dioxygenase [Amino acid transport and metabolism]	CDD:228585	23.358	137	87	5	2	128	14	142	6.68e-06	41.7
tr|A0LFF9|A0LFF9_SYNFM	METABOLISM	Energy production and conversion 	KOG0369	Pyruvate carboxylase	KOG0369, Pyruvate carboxylase [Energy production and conversion]	CDD:228318	33.384	653	374	17	29	660	562	1174	5.73e-105	342.0
tr|A0LFF9|A0LFF9_SYNFM	METABOLISM	Lipid transport and metabolism 	KOG0238	3-Methylcrotonyl-CoA carboxylase, biotin-containing subunit/Propionyl-CoA carboxylase, alpha chain/Acetyl-CoA carboxylase, biotin carboxylase subunit	KOG0238, 3-Methylcrotonyl-CoA carboxylase, biotin-containing subunit/Propionyl-CoA carboxylase, alpha chain/Acetyl-CoA carboxylase, biotin carboxylase subunit [Lipid transport and metabolism, Amino acid transport and metabolism]	CDD:228187	49.18	61	31	0	597	657	606	666	1.65e-15	77.9
tr|A0LFF9|A0LFF9_SYNFM	METABOLISM	Lipid transport and metabolism 	KOG0368	Acetyl-CoA carboxylase	KOG0368, Acetyl-CoA carboxylase [Lipid transport and metabolism]	CDD:228317	34.848	66	42	1	593	658	686	750	2.79e-09	58.3
tr|A0LFF9|A0LFF9_SYNFM	METABOLISM	Amino acid transport and metabolism 	KOG2367	Alpha-isopropylmalate synthase/homocitrate synthase	KOG2367, Alpha-isopropylmalate synthase/homocitrate synthase [Amino acid transport and metabolism]	CDD:230306	23.729	118	83	2	182	292	203	320	2.24e-07	51.4
tr|A0LFF9|A0LFF9_SYNFM	METABOLISM	Energy production and conversion 	KOG0559	Dihydrolipoamide succinyltransferase (2-oxoglutarate dehydrogenase, E2 subunit)	KOG0559, Dihydrolipoamide succinyltransferase (2-oxoglutarate dehydrogenase, E2 subunit) [Energy production and conversion]	CDD:228507	36.667	60	38	0	601	660	87	146	1.07e-06	49.0
tr|A0LG79|A0LG79_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG3070	Predicted RNA-binding protein containing PIN domain and invovled in translation or RNA processing	KOG3070, Predicted RNA-binding protein containing PIN domain and invovled in translation or RNA processing [Translation, ribosomal structure and biogenesis]	CDD:231008	59.091	66	20	3	4	63	59	123	5.36e-17	69.1
tr|A0LGH9|A0LGH9_SYNFM	METABOLISM	Inorganic ion transport and metabolism 	KOG1056	Glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits, G-protein coupled receptor superfamily	KOG1056, Glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits, G-protein coupled receptor superfamily [Inorganic ion transport and metabolism, Signal transduction mechanisms]	CDD:229002	28.144	167	107	7	91	248	126	288	5.83e-08	52.0
tr|A0LH28|A0LH28_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0102	Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily	KOG0102, Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228053	66.504	615	201	2	3	614	28	640	0.0	960.0
tr|A0LH28|A0LH28_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0100	Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily	KOG0100, Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228051	50.629	636	287	12	1	618	35	661	0.0	686.0
tr|A0LH28|A0LH28_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0101	Molecular chaperones HSP70/HSC70, HSP70 superfamily	KOG0101, Molecular chaperones HSP70/HSC70, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228052	48.161	598	293	7	1	586	6	598	0.0	562.0
tr|A0LH28|A0LH28_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0103	Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily	KOG0103, Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228054	38.144	388	223	5	1	377	1	382	5.65e-78	260.0
tr|A0LH28|A0LH28_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0104	Molecular chaperones GRP170/SIL1, HSP70 superfamily	KOG0104, Molecular chaperones GRP170/SIL1, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228055	28.78	549	332	16	4	513	24	552	5.53e-69	238.0
tr|A0LH40|A0LH40_SYNFM	METABOLISM	Energy production and conversion 	KOG2403	Succinate dehydrogenase, flavoprotein subunit	KOG2403, Succinate dehydrogenase, flavoprotein subunit [Energy production and conversion]	CDD:230342	20.417	671	401	31	3	633	48	625	3.62e-10	60.6
tr|A0LHL3|A0LHL3_SYNFM	METABOLISM	Amino acid transport and metabolism 	KOG0540	3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta	KOG0540, 3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta [Amino acid transport and metabolism, Lipid transport and metabolism]	CDD:228488	40.347	518	287	10	4	516	35	535	0.0	524.0
tr|A0LHL3|A0LHL3_SYNFM	METABOLISM	Lipid transport and metabolism 	KOG0368	Acetyl-CoA carboxylase	KOG0368, Acetyl-CoA carboxylase [Lipid transport and metabolism]	CDD:228317	25.676	222	136	10	123	330	1653	1859	9.01e-15	75.2
tr|A0LHS6|A0LHS6_SYNFM	METABOLISM	Energy production and conversion 	KOG1335	Dihydrolipoamide dehydrogenase	KOG1335, Dihydrolipoamide dehydrogenase [Energy production and conversion]	CDD:229277	47.222	36	19	0	138	173	41	76	3.68e-05	44.3
tr|A0LHS6|A0LHS6_SYNFM	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	KOG0029	Amine oxidase	KOG0029, Amine oxidase [Secondary metabolites biosynthesis, transport and catabolism]	CDD:227980	30.435	46	32	0	128	173	7	52	0.00016	42.4
tr|A0LHS7|A0LHS7_SYNFM	METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	KOG0029	Amine oxidase	KOG0029, Amine oxidase [Secondary metabolites biosynthesis, transport and catabolism]	CDD:227980	29.545	44	31	0	3	46	12	55	4.14e-05	43.1
tr|A0LHS7|A0LHS7_SYNFM	METABOLISM	Energy production and conversion 	KOG1335	Dihydrolipoamide dehydrogenase	KOG1335, Dihydrolipoamide dehydrogenase [Energy production and conversion]	CDD:229277	48.571	35	18	0	9	43	42	76	0.000411	40.1
sp|A0LI20|RISB_SYNFM	METABOLISM	Coenzyme transport and metabolism 	KOG3243	6,7-dimethyl-8-ribityllumazine synthase	KOG3243, 6,7-dimethyl-8-ribityllumazine synthase [Coenzyme transport and metabolism]	CDD:231181	43.571	140	78	1	11	149	16	155	5.1999999999999996e-46	145.0
tr|A0LI60|A0LI60_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG2358	NifU-like domain-containing proteins	KOG2358, NifU-like domain-containing proteins [Posttranslational modification, protein turnover, chaperones]	CDD:230297	43.75	64	34	2	11	72	135	198	9.73e-14	60.2
tr|A0LI60|A0LI60_SYNFM	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG2358	NifU-like domain-containing proteins	KOG2358, NifU-like domain-containing proteins [Posttranslational modification, protein turnover, chaperones]	CDD:230297	37.705	61	38	0	5	65	82	142	3.36e-07	42.9
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0460	Mitochondrial translation elongation factor Tu	KOG0460, Mitochondrial translation elongation factor Tu [Translation, ribosomal structure and biogenesis]	CDD:228409	67.929	396	126	1	2	397	44	438	0.0	671.0
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0458	Elongation factor 1 alpha	KOG0458, Elongation factor 1 alpha [Translation, ribosomal structure and biogenesis]	CDD:228407	26.726	449	264	20	3	397	166	603	1.06e-47	169.0
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0461	Selenocysteine-specific elongation factor	KOG0461, Selenocysteine-specific elongation factor [Translation, ribosomal structure and biogenesis]	CDD:228410	29.904	311	178	12	13	308	8	293	1.4800000000000002e-43	156.0
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0459	Polypeptide release factor 3	KOG0459, Polypeptide release factor 3 [Translation, ribosomal structure and biogenesis]	CDD:228408	25.11	454	251	18	7	397	74	501	2.2e-37	139.0
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0462	Elongation factor-type GTP-binding protein	KOG0462, Elongation factor-type GTP-binding protein [Translation, ribosomal structure and biogenesis]	CDD:228411	32.117	274	151	11	14	276	62	311	1.11e-28	115.0
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0052	Translation elongation factor EF-1 alpha/Tu	KOG0052, Translation elongation factor EF-1 alpha/Tu [Translation, ribosomal structure and biogenesis]	CDD:228003	27.209	430	200	14	10	392	5	368	1.0799999999999999e-23	99.1
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0466	Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)	KOG0466, Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase) [Translation, ribosomal structure and biogenesis]	CDD:228415	26.481	287	135	9	13	253	39	295	7.17e-20	88.7
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG1145	Mitochondrial translation initiation factor 2 (IF-2; GTPase)	KOG1145, Mitochondrial translation initiation factor 2 (IF-2; GTPase) [Translation, ribosomal structure and biogenesis]	CDD:229088	30.142	282	157	14	4	281	147	392	3.55e-18	84.0
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0465	Mitochondrial elongation factor	KOG0465, Mitochondrial elongation factor [Translation, ribosomal structure and biogenesis]	CDD:228414	33.083	133	76	4	14	139	41	167	1.19e-15	76.2
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0468	U5 snRNP-specific protein	KOG0468, U5 snRNP-specific protein [Translation, ribosomal structure and biogenesis]	CDD:228417	31.111	135	86	4	13	141	129	262	2.38e-13	69.5
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0467	Translation elongation factor 2/ribosome biogenesis protein RIA1 and related proteins	KOG0467, Translation elongation factor 2/ribosome biogenesis protein RIA1 and related proteins [Translation, ribosomal structure and biogenesis]	CDD:228416	29.412	136	75	6	14	139	11	135	1.27e-12	67.2
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0464	Elongation factor G	KOG0464, Elongation factor G [Translation, ribosomal structure and biogenesis]	CDD:228413	31.061	132	80	3	14	139	39	165	7.68e-12	64.7
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0469	Elongation factor 2	KOG0469, Elongation factor 2 [Translation, ribosomal structure and biogenesis]	CDD:228418	32.099	162	74	10	1	139	13	161	9.47e-10	57.9
sp|A0LIH6|EFTU_SYNFM	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG1143	Predicted translation elongation factor	KOG1143, Predicted translation elongation factor [Translation, ribosomal structure and biogenesis]	CDD:229086	22.727	440	258	19	13	395	168	582	3.36e-09	56.0
