qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|A0B9K2|AATA_METTP	TIGR01043	ATP synthase subunit A	ATP synthase archaeal, A subunit. Archaeal ATP synthase shares extensive sequence similarity with eukaryotic and prokaryotic V-type (H+)-ATPases. [Energy metabolism, ATP-proton motive force interconversion]	7.1.2.2	CDD:130115	cellular organisms	131567	61.938	578.0	213.0	5.0	3.0	573.0	1.0	578.0	0.0	962.0
tr|A0LE81|A0LE81_SYNFM	TIGR01973	NADH-quinone oxidoreductase subunit NuoG	NADH-quinone oxidoreductase, chain G. This model represents the G subunit (one of 14: A->N) of the NADH-quinone oxidoreductase complex I which generally couples NADH and ubiquinone oxidation/reduction in bacteria and mammalian mitochondria while translocating protons, but may act on NADPH and/or plastoquinone in cyanobacteria and plant chloroplasts. This model excludes related subunits from formate dehydrogenase complexes. [Energy metabolism, Electron transport]	1.6.5.11	CDD:273904	Bacteria	2	33.994	353.0	209.0	9.0	8.0	355.0	1.0	334.0	1.35e-91	283.0
tr|A0LE82|A0LE82_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LE87|A0LE87_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LE88|A0LE88_SYNFM	TIGR01582	formate dehydrogenase subunit beta	formate dehydrogenase, beta subunit, Fe-S containing. This model represents the beta subunit of the gamma-proteobacterial formate dehydrogenase. This subunit contains four 4Fe-4S clusters and is involved in transmitting electrons from the alpha subunit (TIGR01553) at the periplasmic space to the gamma subunit which spans the cytoplasmic membrane. In addition to the gamma proteobacteria, a sequence from Aquifex aolicus falls within the scope of this model. This appears to be the case for the alpha, gamma and epsilon (accessory protein TIGR01562) chains as well. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]	1.17.1.9	CDD:273705	Proteobacteria	1224	37.089	213.0	122.0	7.0	6.0	211.0	23.0	230.0	1.4400000000000002e-43	145.0
sp|A0LEC9|ENO_SYNFM	TIGR01060	phosphopyruvate hydratase	phosphopyruvate hydratase. Alternate name: enolase [Energy metabolism, Glycolysis/gluconeogenesis]	4.2.1.11	CDD:213580	cellular organisms	131567	71.395	423.0	118.0	2.0	4.0	424.0	1.0	422.0	0.0	720.0
sp|A0LEH2|CH601_SYNFM	TIGR02348	chaperonin GroEL	chaperonin GroL. This family consists of GroEL, the larger subunit of the GroEL/GroES cytosolic chaperonin. It is found in bacteria, organelles derived from bacteria, and occasionally in the Archaea. The bacterial GroEL/GroES group I chaperonin is replaced a group II chaperonin, usually called the thermosome in the Archaeota and CCT (chaperone-containing TCP) in the Eukaryota. GroEL, thermosome subunits, and CCT subunits all fall under the scope of pfam00118. [Protein fate, Protein folding and stabilization]		CDD:274089	cellular organisms	131567	75.191	524.0	129.0	1.0	2.0	524.0	1.0	524.0	0.0	881.0
tr|A0LEV9|A0LEV9_SYNFM	TIGR02350	molecular chaperone DnaK	chaperone protein DnaK. Members of this family are the chaperone DnaK, of the DnaK-DnaJ-GrpE chaperone system. All members of the seed alignment were taken from completely sequenced bacterial or archaeal genomes and (except for Mycoplasma sequence) found clustered with other genes of this systems. This model excludes DnaK homologs that are not DnaK itself, such as the heat shock cognate protein HscA (TIGR01991). However, it is not designed to distinguish among DnaK paralogs in eukaryotes. Note that a number of dnaK genes have shadow ORFs in the same reverse (relative to dnaK) reading frame, a few of which have been assigned glutamate dehydrogenase activity. The significance of this observation is unclear; lengths of such shadow ORFs are highly variable as if the presumptive protein product is not conserved. [Protein fate, Protein folding and stabilization]		CDD:274091	cellular organisms	131567	67.279	599.0	191.0	4.0	3.0	600.0	1.0	595.0	0.0	998.0
tr|A0LEY5|A0LEY5_SYNFM	cl21456		Type 2 periplasmic binding fold superfamily. This domain is often found in association with the helix-turn-helix domain HTH_41 (pfam14502). It includes YhfZ proteins from Escherichia coli and Shigella flexneri.		CDD:473866												
tr|A0LF38|A0LF38_SYNFM	cl00438		NADPH-dependent FMN reductase. This family represents a flavodoxin domain.		CDD:469770												
tr|A0LFF3|A0LFF3_SYNFM	cl14632		vicinal oxygen chelate (VOC) family. This domain is one of two barrel-shaped regions that together form the active enzyme, 4-hydroxyphenylpyruvic acid dioxygenase, EC:1.13.11.27. As can be deduced from the disposition of the various Glyoxalase families, _2, _3 and _4 in Pfam, pfam00903, pfam12681, pfam13468, pfam13669, these two regions are similar to be indicative of a gene-duplication event. At the individual sequence level slight differences in conformation have given rise to slightly different functions. In the case of UniProt:P80064, 4-hydroxyphenylpyruvic acid dioxygenase catalyzes the formation of homogentisate from 4-hydroxyphenylpyruvate, and the pyruvate part of the HPPD substrate (4-hydroxyphenylpyruvate), derived from L-tyrosine, and the O2 molecule occupy the three free coordination sites of the catalytic iron atom in the C-terminal domain. In plants and photosynthetic bacteria, the tyrosine degradation pathway is crucial because homogentisate, a tyrosine degradation product, is a precursor for the biosynthesis of photosynthetic pigments, such as quinones or tocopherols.		CDD:472697												
tr|A0LFF5|A0LFF5_SYNFM	cl00293		N/A. This domain binds to B12 (adenosylcobamide), it is found in several enzymes, such as glutamate mutase, methionine synthase and methylmalonyl-CoA mutase. It contains a conserved DxHxxGx(41)SxVx(26)GG motif, which is important for B12 binding.		CDD:469709												
tr|A0LFF6|A0LFF6_SYNFM	cl00817		N/A. Methylmalonyl-CoA mutase (EC 5.4.99.2) catalyzes a reversible isomerization between L-methylmalonyl-CoA and succinyl-CoA. The enzyme uses an adenosylcobalamin cofactor. It may be a homodimer, as in mitochondrion, or a heterodimer with partially homologous beta chain that does not bind the adenosylcobalamin cofactor, as in Propionibacterium freudenreichii. The most similar archaeal sequences are separate chains, such as AF2215 abd AF2219 of Archaeoglobus fulgidus, that correspond roughly to the first 500 and last 130 residues, respectively of known methylmalonyl-CoA mutases. This model describes the N-terminal domain subfamily. In a neighbor-joining tree, AF2215 branches with a bacterial isobutyryl-CoA mutase, which is also the same length. Scoring between the noise and trusted cutoffs are the non-catalytic, partially homologous beta chains from certain heterodimeric examples of 5.4.99.2.		CDD:469938												
tr|A0LFF9|A0LFF9_SYNFM	cl39082		N/A. Members of this family are ATP-dependent urea carboxylase, including characterized members from Oleomonas sagaranensis (alpha class Proteobacterium) and yeasts such as Saccharomyces cerevisiae. The allophanate hydrolase domain of the yeast enzyme is not included in this model and is represented by an adjacent gene in Oleomonas sagaranensis. The fusion of urea carboxylase and allophanate hydrolase is designated urea amidolyase. The enzyme from Oleomonas sagaranensis was shown to be highly active on acetamide and formamide as well as urea. [Central intermediary metabolism, Nitrogen metabolism]		CDD:476865												
tr|A0LFJ0|A0LFJ0_SYNFM	TIGR01785	TonB-dependent heme/hemoglobin receptor family protein (Provisional)	TonB-dependent heme/hemoglobin receptor family protein. This model represents the TonB-dependent outer membrane heme/hemoglobin receptor/transporter found in bacteria which live in contact with animals (which contain hemoglobin or other heme-bearing globins) or legumes (which contain leghemoglobin). Some species having hits to this model such as Nostoc, Caulobacter and Chlorobium do not have an obvious source of hemoglobin-like proteins in their biological niche and so the possibility exists that they act on some other substance. [Transport and binding proteins, Cations and iron carrying compounds, Transport and binding proteins, Porins]		CDD:273807	Bacteria	2	23.561	747.0	445.0	29.0	60.0	762.0	1.0	665.0	3.9900000000000003e-57	204.0
tr|A0LFV7|A0LFV7_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LH28|A0LH28_SYNFM	TIGR02350	molecular chaperone DnaK	chaperone protein DnaK. Members of this family are the chaperone DnaK, of the DnaK-DnaJ-GrpE chaperone system. All members of the seed alignment were taken from completely sequenced bacterial or archaeal genomes and (except for Mycoplasma sequence) found clustered with other genes of this systems. This model excludes DnaK homologs that are not DnaK itself, such as the heat shock cognate protein HscA (TIGR01991). However, it is not designed to distinguish among DnaK paralogs in eukaryotes. Note that a number of dnaK genes have shadow ORFs in the same reverse (relative to dnaK) reading frame, a few of which have been assigned glutamate dehydrogenase activity. The significance of this observation is unclear; lengths of such shadow ORFs are highly variable as if the presumptive protein product is not conserved. [Protein fate, Protein folding and stabilization]		CDD:274091	cellular organisms	131567	69.9	598.0	176.0	3.0	3.0	599.0	1.0	595.0	0.0	1074.0
tr|A0LH39|A0LH39_SYNFM	TIGR02060	adenylyl-sulfate reductase subunit beta	adenosine phosphosulphate reductase, beta subunit. During dissimilatory sulfate reduction and sulfur oxidation, adenylylsulfate (APS) reductase catalyzes reversibly the two-electron reduction of APS to sulfite and AMP. Found in several bacterial lineages and in Archaeoglobales, APS reductase is a heterodimer composed of an alpha subunit containing a noncovalently bound FAD, and a beta subunit containing two [4Fe-4S] clusters. Described by this model is the beta subunit of APS reductase, sharing common evolutionary origin with other iron-sulfur cluster-binding proteins. [Central intermediary metabolism, Sulfur metabolism]	1.8.99.2	CDD:131115	cellular organisms	131567	62.406	133.0	49.0	1.0	1.0	133.0	1.0	132.0	6.28e-69	201.0
tr|A0LH40|A0LH40_SYNFM	cl46878		FAD binding domain. During dissimilatory sulfate reduction or sulfur oxidation, adenylylsulfate (APS) reductase catalyzes reversibly the two-electron reduction of APS to sulfite and AMP. Found in several bacterial lineages and in Archaeoglobales, APS reductase is a heterodimer composed of an alpha subunit containing a noncovalently bound FAD, and a beta subunit containing two [4Fe-4S] clusters. Described by this model is the alpha subunit of APS reductase, sharing common evolutionary origin with fumarate reductase/succinate dehydrogenase flavoproteins. [Central intermediary metabolism, Sulfur metabolism]		CDD:481218												
tr|A0LHS7|A0LHS7_SYNFM	TIGR02734	phytoene desaturase	phytoene desaturase. Phytoene is converted to lycopene by desaturation at four (two symmetrical pairs of) sites. This is achieved by two enzymes (crtP and crtQ) in cyanobacteria (Gloeobacter being an exception) and plants, but by a single enzyme in most other bacteria and in fungi. This single enzyme is called the bacterial-type phytoene desaturase, or CrtI. Most members of this family, part of the larger pfam01593, which also contains amino oxidases, are CrtI itself; it is likely that all members act on either phytoene or on related compounds such as dehydrosqualene, for carotenoid biosynthesis. [Biosynthesis of cofactors, prosthetic groups, and carriers, Other]	1.14.99.-	CDD:274273	cellular organisms	131567	40.476	42.0	25.0	0.0	9.0	50.0	1.0	42.0	7.15e-06	45.0
sp|A0LI20|RISB_SYNFM	TIGR00114	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase. This enzyme catalyzes the cyclo-ligation of 3,4-dihydroxy-2-butanone-4-P and 5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione to form 6,7-dimethyl-8-ribityllumazine, the immediate precursor of riboflavin. Sometimes referred to as riboflavin synthase, beta subunit, this should not be confused with the alpha subunit which carries out the subsequent reaction. Archaeal members of this family are considered putative, although included in the seed and scoring above the trusted cutoff. [Biosynthesis of cofactors, prosthetic groups, and carriers, Riboflavin, FMN, and FAD]	2.5.1.78	CDD:211550	cellular organisms	131567	66.667	138.0	46.0	0.0	13.0	150.0	1.0	138.0	1.33e-68	201.0
sp|A0LIH6|EFTU_SYNFM	TIGR00485	elongation factor Tu	translation elongation factor TU. This model models orthologs of translation elongation factor EF-Tu in bacteria, mitochondria, and chloroplasts, one of several GTP-binding translation factors found by the more general pfam model GTP_EFTU. The eukaryotic conterpart, eukaryotic translation elongation factor 1 (eEF-1 alpha), is excluded from this model. EF-Tu is one of the most abundant proteins in bacteria, as well as one of the most highly conserved, and in a number of species the gene is duplicated with identical function. When bound to GTP, EF-Tu can form a complex with any (correctly) aminoacylated tRNA except those for initiation and for selenocysteine, in which case EF-Tu is replaced by other factors. Transfer RNA is carried to the ribosome in these complexes for protein translation. [Protein synthesis, Translation factors]		CDD:129576	Bacteria	2	76.826	397.0	89.0	2.0	1.0	397.0	1.0	394.0	0.0	694.0
sp|A0LIJ6|RS3_SYNFM	TIGR01009	30S ribosomal protein S3	ribosomal protein S3, bacterial type. This model describes the bacterial type of ribosomal protein S3. Chloroplast and mitochondrial forms have large, variable inserts between conserved N-terminal and C-terminal domains. This model recognizes all bacterial forms and many chloroplast forms above the trusted cutoff score. TIGRFAMs model TIGR01008 describes S3 of the eukaryotic cytosol and of the archaea. [Protein synthesis, Ribosomal proteins: synthesis and modification]		CDD:130082	Bacteria	2	68.421	209.0	65.0	1.0	1.0	208.0	1.0	209.0	6.02e-113	318.0
tr|A0LIW7|A0LIW7_SYNFM	TIGR00119	acetolactate synthase small subunit	acetolactate synthase, small subunit. Acetolactate synthase is a heterodimeric thiamine pyrophosphate enzyme with large and small subunits. One of the three isozymes in E. coli K12 contains a frameshift in the large subunit gene and is not expressed. acetohydroxyacid synthase is a synonym. [Amino acid biosynthesis, Pyruvate family]	2.2.1.6	CDD:272916	cellular organisms	131567	32.759	58.0	37.0	1.0	6.0	61.0	4.0	61.0	0.000244	36.2
tr|A0LIY7|A0LIY7_SYNFM	TIGR01019	succinate--CoA ligase subunit alpha	succinyl-CoA synthetase, alpha subunit. This model describes succinyl-CoA synthetase alpha subunits but does not discriminate between GTP-specific and ATP-specific reactions. The model is designated as subfamily rather than equivalog for that reason. ATP citrate lyases appear to form an outgroup. [Energy metabolism, TCA cycle]	6.2.1.-	CDD:130091	cellular organisms	131567	70.775	284.0	83.0	0.0	3.0	286.0	1.0	284.0	3.63e-171	472.0
sp|A0LIY8|SUCC_SYNFM	TIGR01016	succinate-CoA ligase subunit beta	succinyl-CoA synthetase, beta subunit. This model is designated subfamily because it does not discriminate the ADP-forming enzyme ((EC 6.2.1.5) from the GDP_forming (EC 6.2.1.4) enzyme. The N-terminal half is described by the CoA-ligases model (pfam00549). The C-terminal half is described by the ATP-grasp model (pfam02222). This family contains a split seen both in a maximum parsimony tree (which ignores gaps) and in the gap pattern near position 85 of the seed alignment. Eukaryotic and most bacterial sequences are longer and contain a region similar to TXQTXXXG. Sequences from Deinococcus radiodurans, Mycobacterium tuberculosis, Streptomyces coelicolor, and the Archaea are 6 amino acids shorter in that region and contain a motif resembling [KR]G [Energy metabolism, TCA cycle]	6.2.1.-	CDD:273396	cellular organisms	131567	57.623	387.0	163.0	1.0	1.0	387.0	1.0	386.0	0.0	507.0
tr|A0LJ79|A0LJ79_SYNFM	TIGR02179	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family (Provisional)	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family. A number of anaerobic and microaerophilic species lack pyruvate dehydrogenase and have instead a four subunit, oxygen-sensitive pyruvate oxidoreductase, with either ferredoxins or flavodoxins used as the acceptor. Several related four-subunit enzymes may exist in the same species. This model describes a subfamily of delta subunits, representing mostly pyruvate, 2-ketoisovalerate, and 2-oxoglutarate specific enzymes. The delta subunit is the smallest and resembles ferredoxins.		CDD:131234	cellular organisms	131567	38.182	55.0	27.0	3.0	497.0	551.0	25.0	72.0	7.7e-07	44.2
tr|A0LJ81|A0LJ81_SYNFM	cl09928		N/A. This model describes a subset of formate dehydrogenase alpha chains found mainly in proteobacteria but also in Aquifex. The alpha chain contains domains for molybdopterin dinucleotide binding and molybdopterin oxidoreductase (pfam01568 and pfam00384, respectively). The holo-enzyme also contains beta and gamma subunits of 32 and 20 kDa. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons. The electrons are utilized mainly in the nitrate respiration by nitrate reductase. In E. coli and Salmonella, there are two forms of the formate dehydrogenase, one induced by nitrate which is strictly anaerobic (fdn), and one incuced during the transition from aerobic to anaerobic growth (fdo). This subunit is one of only three proteins in E. coli which contain selenocysteine. This model is well-defined, with a large, unpopulated trusted/noise gap. [Energy metabolism, Anaerobic, Energy metabolism, Electron transport]		CDD:447860												
tr|A0LJ87|A0LJ87_SYNFM	TIGR01971	NADH-quinone oxidoreductase, chain I (Provisional)	"NADH-quinone oxidoreductase, chain I. This model represents the I subunit (one of 14: A->N) of the NADH-quinone oxidoreductase complex I which generally couples NADH and ubiquinone oxidation/reduction in bacteria and mammalian mitochondria, but may act on NADPH and/or plastoquinone in cyanobacteria and plant chloroplasts. This model excludes ""I"" subunits from the closely related F420H2 dehydrogenase and formate hydrogenlyase complexes. [Energy metabolism, Electron transport]"		CDD:273902	cellular organisms	131567	28.889	90.0	45.0	4.0	91.0	177.0	26.0	99.0	1.79e-06	45.1
tr|A0LJ87|A0LJ87_SYNFM	TIGR02912	sulfite reductase subunit C	sulfite reductase, subunit C. Members of this protein family include the C subunit, one of three subunits, of the anaerobic sulfite reductase of Salmonella, and close homologs from various Clostridum species, where the three-gene neighborhood is preserved. Two such gene clusters are found in Clostridium perfringens, but it may be that these sets of genes correspond to the distinct assimilatory and dissimilatory forms as seen in Clostridium pasteurianum. Note that any one of these enzymes may have secondary substates such as NH2OH, SeO3(2-), and SO3(2-). Heterologous expression of the anaerobic sulfite reductase of Salmonella confers on Escherichia coli the ability to produce hydrogen sulfide gas from sulfite. [Central intermediary metabolism, Sulfur metabolism]	1.8.-.-	CDD:131958	Bacteria	2	36.364	55.0	33.0	1.0	937.0	991.0	165.0	217.0	2.39e-05	44.5
tr|A0LJ87|A0LJ87_SYNFM	TIGR01944	RnfABCDGE type electron transport complex subunit B	electron transport complex, RnfABCDGE type, B subunit. The six subunit complex RnfABCDGE in Rhodobacter capsulatus encodes an apparent NADH oxidoreductase responsible for electron transport to nitrogenase, necessary for nitrogen fixation. A closely related complex in E. coli, RsxABCDGE (Reducer of SoxR), reduces the 2Fe-2S-containing superoxide sensor SoxR, active as a transcription factor when oxidized. This family of putative NADH oxidoreductase complexes exists in many of the same species as the related NQR, a Na(+)-translocating NADH-quinone reductase, but is distinct. This model describes the B subunit. [Energy metabolism, Electron transport]		CDD:273887	cellular organisms	131567	25.234	107.0	60.0	4.0	32.0	122.0	25.0	127.0	0.000266	39.8
tr|A0LJ87|A0LJ87_SYNFM	TIGR01944	RnfABCDGE type electron transport complex subunit B	electron transport complex, RnfABCDGE type, B subunit. The six subunit complex RnfABCDGE in Rhodobacter capsulatus encodes an apparent NADH oxidoreductase responsible for electron transport to nitrogenase, necessary for nitrogen fixation. A closely related complex in E. coli, RsxABCDGE (Reducer of SoxR), reduces the 2Fe-2S-containing superoxide sensor SoxR, active as a transcription factor when oxidized. This family of putative NADH oxidoreductase complexes exists in many of the same species as the related NQR, a Na(+)-translocating NADH-quinone reductase, but is distinct. This model describes the B subunit. [Energy metabolism, Electron transport]		CDD:273887	cellular organisms	131567	27.381	84.0	53.0	2.0	908.0	989.0	80.0	157.0	0.000306	39.4
tr|A0LJQ2|A0LJQ2_SYNFM	TIGR02911	anaerobic sulfite reductase subunit B	sulfite reductase, subunit B. Members of this protein family include the B subunit, one of three subunits, of the anaerobic sulfite reductase of Salmonella, and close homologs from various Clostridum species, where the three-gene neighborhood is preserved. Two such gene clusters are found in Clostridium perfringens, but it may be that these sets of genes correspond to the distinct assimilatory and dissimilatory forms as seen in Clostridium pasteurianum. [Central intermediary metabolism, Sulfur metabolism]	1.8.-.-	CDD:131957	Bacteria	2	32.246	276.0	168.0	8.0	3.0	276.0	1.0	259.0	7.49e-54	173.0
tr|A0LJS9|A0LJS9_SYNFM	TIGR00384	succinate dehydrogenase and fumarate reductase iron-sulfur protein (Provisional)	succinate dehydrogenase and fumarate reductase iron-sulfur protein. Succinate dehydrogenase and fumarate reductase are reverse directions of the same enzymatic interconversion, succinate + FAD+ = fumarate + FADH2 (EC 1.3.11.1). In E. coli, the forward and reverse reactions are catalyzed by distinct complexes: fumarate reductase operates under anaerobic conditions and succinate dehydrogenase operates under aerobic conditions. This model also describes a region of the B subunit of a cytosolic archaeal fumarate reductase. [Energy metabolism, Aerobic, Energy metabolism, Anaerobic, Energy metabolism, TCA cycle]		CDD:273049	cellular organisms	131567	36.161	224.0	138.0	5.0	9.0	231.0	1.0	220.0	8.850000000000001e-59	183.0
tr|A0LJT0|A0LJT0_SYNFM	cl46878		FAD binding domain. During dissimilatory sulfate reduction or sulfur oxidation, adenylylsulfate (APS) reductase catalyzes reversibly the two-electron reduction of APS to sulfite and AMP. Found in several bacterial lineages and in Archaeoglobales, APS reductase is a heterodimer composed of an alpha subunit containing a noncovalently bound FAD, and a beta subunit containing two [4Fe-4S] clusters. Described by this model is the alpha subunit of APS reductase, sharing common evolutionary origin with fumarate reductase/succinate dehydrogenase flavoproteins. [Central intermediary metabolism, Sulfur metabolism]		CDD:481218												
tr|A0LK38|A0LK38_SYNFM	cl00257		DNA sequence specific (IHF) and non-specific (HU) domains. This model describes a set of proteins related to but longer than DNA-binding protein HU. Its distinctive domain architecture compared to HU and related histone-like DNA-binding proteins justifies the designation as superfamily. Members include, so far, one from Bacteroides fragilis, a gut bacterium, and ten from Porphyromonas gingivalis, an oral anaerobe. [DNA metabolism, Chromosome-associated proteins]		CDD:444792												
