Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
E3CX03	E3CX03_9BACT	Amino acid/amide ABC transporter substrate-binding protein, HAAT family				1.0	Leucine-binding protein family	PF13458;
I2F1Z3	I2F1Z3_9BACT	ABC-type dipeptide transport system, periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0		PF00496;
F4BUS0	F4BUS0_METSG	PfkB domain protein	kinase activity [GO:0016301]			1.0	Carbohydrate kinase PfkB family	PF00294;
A0A3T2UY78	A0A3T2UY78_SHIFL	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	cytosol [GO:0005829]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	FUNCTION: Catalyzes the conversion of 4-hydroxy-tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate. {ECO:0000256|HAMAP-Rule:MF_00102}.	1.17.1.8	3.0	DapB family	PF05173;PF01113;
A0A7K4AJX3	A0A7K4AJX3_METSH	Aminotransferase (EC 2.6.1.-)	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]		2.6.1.-	2.0	Class-I pyridoxal-phosphate-dependent aminotransferase family	PF00155;
A0A6G1ZIB5	A0A6G1ZIB5_9BACT	DUF6383 domain-containing protein				1.0		PF19910;
F4BY33	F4BY33_METSG	Aminotransferase (EC 2.6.1.-)	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]		2.6.1.-	2.0	Class-I pyridoxal-phosphate-dependent aminotransferase family	PF00155;
A0A1J5NM87	A0A1J5NM87_MOOTH	NADH-dependent phenylglyoxylate dehydrogenase subunit alpha (EC 1.2.1.58)	phenylglyoxylate dehydrogenase (acylating) activity [GO:0047110]; response to oxidative stress [GO:0006979]		1.2.1.58	1.0		PF17147;PF01855;
E8WTG1	E8WTG1_GEOS8	Outer membrane protein beta-barrel domain-containing protein				1.0		PF13505;
Q8YZI6	Q8YZI6_NOSS1	Alr0474 protein				1.0		
R5A6U0	R5A6U0_9CLOT	Cadherin-like beta sandwich domain protein	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; polysaccharide catabolic process [GO:0000272]			1.0		PF12733;PF00963;
Q0AVM3	THLA_SYNWW	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	cytoplasm [GO:0005737]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; butyrate metabolic process [GO:0019605]	FUNCTION: Involved in syntrophic growth of S.wolfei with butyrate, as part of the butyrate oxidation pathway. Probably catalyzes the beta-keto thiolysis of acetoacetyl-CoA, leading to 2 acetyl-CoA molecules. {ECO:0000305|PubMed:23468890}.	2.3.1.9	3.0	Thiolase-like superfamily, Thiolase family	PF02803;PF00108;
F7S8W1	F7S8W1_9PROT	Dihydroxyacetone kinase, DhaK subunit	cytosol [GO:0005829]; glycerone kinase activity [GO:0004371]; glycerol catabolic process [GO:0019563]			1.0		PF02733;
M9LNZ2	M9LNZ2_PAEPP	VWFA domain-containing protein				1.0		PF07833;PF18998;PF13519;
M1WQQ7	M1WQQ7_PSEP2	Aldehyde oxidoreductase (EC 1.2.99.7)	2 iron, 2 sulfur cluster binding [GO:0051537]; aldehyde dehydrogenase (FAD-independent) activity [GO:0033727]; iron ion binding [GO:0005506]		1.2.99.7	1.0	Xanthine dehydrogenase family	PF01315;PF00111;PF01799;PF02738;PF20256;
F4BXM3	F4BXM3_METSG	Uncharacterized protein				1.0		PF18065;PF18047;
T0RVS3	T0RVS3_9BACT	Uncharacterized protein				1.0		
E8WYV4	E8WYV4_GRATM	TonB-dependent receptor-like beta-barrel domain-containing protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF13620;PF00593;
H9U9H4	H9U9H4_FERPD	Putative ABC-type transport system, periplasmic component/surface lipoprotein	plasma membrane [GO:0005886]			1.0	BMP lipoprotein family	PF02608;
K9IZS4	K9IZS4_DESRO	Putative conserved plasma membrane protein	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cilium [GO:0005929]; microvillus membrane [GO:0031528]; prominosome [GO:0071914]; cholesterol binding [GO:0015485]; camera-type eye photoreceptor cell differentiation [GO:0060219]; photoreceptor cell maintenance [GO:0045494]			2.0	Prominin family	PF05478;
F8WSS2	F8WSS2_9NEIS	Type VI secretion system effector				1.0		PF05638;
Q6A2C5	Q6A2C5_9MARC	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor. Essential for the catalytic activity and assembly of complex I. {ECO:0000256|RuleBase:RU003404}.	7.1.1.2	2.0	Complex I subunit 5 family	PF06455;PF00361;PF00662;
A0LMX6	A0LMX6_SYNFM	Extracellular ligand-binding receptor				1.0	Leucine-binding protein family	PF13458;
E3CUC5	E3CUC5_9BACT	ABC transporter, periplasmic substrate-binding protein				1.0		PF12849;
A6TX53	A6TX53_ALKMQ	TRAP transporter solute receptor, TAXI family				1.0		PF16868;
S2DF40	S2DF40_INDAL	PKD domain-containing protein	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]			1.0		PF18483;PF13585;PF18911;PF13573;
E4T742	E4T742_PALPW	OmpA/MotB domain protein	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; monoatomic ion transport [GO:0006811]			1.0		PF00691;
X1HJF2	X1HJF2_9ZZZZ	SPFH domain-containing protein				1.0		PF13421;
D2Z6B3	D2Z6B3_9BACT	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	cytoplasm [GO:0005737]; 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; magnesium ion binding [GO:0000287]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; pantothenate biosynthetic process [GO:0015940]	FUNCTION: Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate. {ECO:0000256|HAMAP-Rule:MF_00156}.	2.1.2.11	3.0	PanB family	PF02548;
A0A368S3Z0	A0A368S3Z0_SETIT	NB-ARC domain-containing protein	ADP binding [GO:0043531]; defense response [GO:0006952]; response to other organism [GO:0051707]			2.0	Disease resistance NB-LRR family	PF23598;PF00931;PF18052;PF23559;
Q3A0M5	Q3A0M5_SYNC1	Ethanol dehydrogenase, putative	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]			1.0	Iron-containing alcohol dehydrogenase family	PF00465;
R5AJ49	R5AJ49_9CLOT	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]	FUNCTION: Catalyzes the oxidative phosphorylation of glyceraldehyde 3-phosphate (G3P) to 1,3-bisphosphoglycerate (BPG) using the cofactor NAD. The first reaction step involves the formation of a hemiacetal intermediate between G3P and a cysteine residue, and this hemiacetal intermediate is then oxidized to a thioester, with concomitant reduction of NAD to NADH. The reduced NADH is then exchanged with the second NAD, and the thioester is attacked by a nucleophilic inorganic phosphate to produce BPG. {ECO:0000256|ARBA:ARBA00003501}.	1.2.1.-	2.0	Glyceraldehyde-3-phosphate dehydrogenase family	PF02800;PF00044;
V5EMR2	V5EMR2_PHOLE	Transposase	DNA integration [GO:0015074]			1.0		PF22483;PF00665;
I4C4L6	I4C4L6_DESTA	Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL-like protein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]			1.0	Xanthine dehydrogenase family	PF01315;PF00111;PF01799;PF02738;PF20256;
A5GEA2	A5GEA2_GEOUR	Transporter				1.0		
R1CP65	R1CP65_9FIRM	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell envelope [GO:0030313]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			2.0	Bacterial solute-binding protein 5 family	PF00496;
S7V5F0	S7V5F0_DESML	NADH ubiquinone oxidoreductase 20 kDa subunit	periplasmic space [GO:0042597]; iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]			1.0		PF01058;
V5WH45	V5WH45_9SPIO	Phosphonate ABC transporter phosphate-binding periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]			1.0	Phosphate/phosphite/phosphonate binding protein family	PF12974;
L8JP53	L8JP53_9BACT	Ig-like domain-containing protein	membrane [GO:0016020]			1.0		PF19081;
E4MY75	E4MY75_EUTHA	Peroxidase (EC 1.11.1.7)	extracellular region [GO:0005576]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	FUNCTION: Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress. {ECO:0000256|RuleBase:RU362060}.	1.11.1.7	3.0	Peroxidase family, Classical plant (class III) peroxidase subfamily	PF00141;
E7S9R5	E7S9R5_9STRE	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]; translation [GO:0006412]	FUNCTION: Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). {ECO:0000256|ARBA:ARBA00025295, ECO:0000256|HAMAP-Rule:MF_00120}.	6.3.5.7	2.0	Amidase family, GatA subfamily	PF01425;
E8WNR3	E8WNR3_GEOS8	OmpA/MotB domain protein	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; monoatomic ion transport [GO:0006811]			1.0		PF13505;PF00691;
A0A7K4AGG7	A0A7K4AGG7_METSH	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (HMGCS) (EC 2.3.3.10)	acetyl-CoA C-acetyltransferase activity [GO:0003985]; hydroxymethylglutaryl-CoA synthase activity [GO:0004421]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	FUNCTION: Catalyzes the condensation of acetyl-CoA with acetoacetyl-CoA to form 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA). Functions in the mevalonate (MVA) pathway leading to isopentenyl diphosphate (IPP), a key precursor for the biosynthesis of isoprenoid compounds that are building blocks of archaeal membrane lipids. {ECO:0000256|HAMAP-Rule:MF_01409}.	2.3.3.10	3.0	Thiolase-like superfamily, Archaeal HMG-CoA synthase family	PF08541;
L2F9A7	L2F9A7_9GAMM	Elongation factor Tu (EF-Tu)	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; translation elongation factor activity [GO:0003746]	FUNCTION: This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00118}.		2.0	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily	PF00009;PF03144;PF03143;
E8V2H6	E8V2H6_TERSS	TonB-dependent receptor, plug	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF13620;
I0HZS3	I0HZS3_CALAS	Putative ABC transporter substrate binding protein	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; carbohydrate transmembrane transporter activity [GO:0015144]; maltose binding [GO:1901982]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]			1.0	Bacterial solute-binding protein 1 family	PF13416;
A0A9W6G2N9	A0A9W6G2N9_9BACT	RNA-binding protein Hfq	cytosol [GO:0005829]; RNA binding [GO:0003723]; regulation of DNA-templated transcription [GO:0006355]; regulation of RNA stability [GO:0043487]; regulation of translation, ncRNA-mediated [GO:0045974]	FUNCTION: RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs. {ECO:0000256|HAMAP-Rule:MF_00436}.		2.0	Hfq family	PF17209;
N9DBY7	N9DBY7_ACIBZ	Integrase catalytic domain-containing protein	cytosol [GO:0005829]; nucleic acid binding [GO:0003676]; transposase activity [GO:0004803]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]			1.0		PF13936;PF00665;
W4LWG6	W4LWG6_ENTF1	Malate dehydrogenase (EC 1.1.1.37)	L-lactate dehydrogenase activity [GO:0004459]; L-malate dehydrogenase (NAD+) activity [GO:0030060]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]; tricarboxylic acid cycle [GO:0006099]	FUNCTION: Catalyzes the reversible oxidation of malate to oxaloacetate. {ECO:0000256|HAMAP-Rule:MF_00487}.	1.1.1.37	2.0	LDH/MDH superfamily, MDH type 3 family	PF02866;PF00056;
Q8TJS7	Q8TJS7_METAC	Cell surface protein	extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; metallocarboxypeptidase activity [GO:0004181]; peptide metabolic process [GO:0006518]; protein processing [GO:0016485]			1.0		PF07705;PF11824;PF13517;PF18911;
X2CV80	X2CV80_EHRRU	Uncharacterized protein				1.0		
F4L3Q0	F4L3Q0_HALH1	MAM protein	membrane [GO:0016020]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; serine-type endopeptidase activity [GO:0004252]; carbohydrate metabolic process [GO:0005975]; proteolysis [GO:0006508]			1.0		PF11617;PF19081;PF00629;PF01483;PF18962;PF13573;
A0A7K4AFD7	A0A7K4AFD7_METSH	Uncharacterized protein				1.0		
X1LM53	X1LM53_9ZZZZ	Peptidase S8/S53 domain-containing protein	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0		PF03415;PF00082;
X5D7Q4	X5D7Q4_9BACT	Starch-binding associating with outer membrane	cell outer membrane [GO:0009279]			1.0	SusD family	PF14322;PF07980;
A0LHS6	A0LHS6_SYNFM	Methyl-viologen-reducing hydrogenase, delta subunit	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]			1.0	HdrA family	PF12831;PF13187;PF02662;
A7NFW8	A7NFW8_ROSCS	Tetratricopeptide TPR_2 repeat protein				1.0		PF13432;
A0A1V4VDZ5	A0A1V4VDZ5_9EURY	V-type ATP synthase beta chain (V-ATPase subunit B)	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal beta chain is a regulatory subunit. {ECO:0000256|ARBA:ARBA00003103, ECO:0000256|HAMAP-Rule:MF_00310}.		2.0	ATPase alpha/beta chains family	PF00006;PF02874;PF22919;
A0A7K4AI05	A0A7K4AI05_METSH	ABC transporter substrate-binding protein				1.0		PF01497;
R2QVW8	R2QVW8_9ENTE	Aconitate hydratase (Aconitase) (EC 4.2.1.3)	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]	FUNCTION: Catalyzes the isomerization of citrate to isocitrate via cis-aconitate. {ECO:0000256|RuleBase:RU361275}.	4.2.1.3	2.0	Aconitase/IPM isomerase family	PF00330;PF00694;
F8EZK4	F8EZK4_GRAC1	TRAP dicarboxylate transporter, DctP subunit	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]; transmembrane transport [GO:0055085]			1.0		PF03480;
A0LJ85	A0LJ85_SYNFM	F420-non-reducing hydrogenase iron-sulfur subunit D domain-containing protein	iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]			1.0		PF02662;
M1QKA3	M1QKA3_METMZ	Alkyl sulfatase	linear primary-alkylsulfatase activity [GO:0018741]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; dodecyl sulfate metabolic process [GO:0018909]			1.0	Metallo-beta-lactamase superfamily, Type III sulfatase family	PF14864;PF14863;PF00753;
A0A421CPI0	A0A421CPI0_9BACT	Alkaline shock protein				1.0	Asp23 family	PF03780;
D5EG68	D5EG68_AMICL	Extracellular ligand-binding receptor				1.0	Leucine-binding protein family	PF13458;
A0A8J8YF85	A0A8J8YF85_ORYSJ	Os01g0786900 protein	phagophore assembly site [GO:0000407]; autophagy [GO:0006914]; response to starvation [GO:0042594]			1.0		PF12490;PF21034;
C3J863	C3J863_POREA	Outer membrane insertion signal domain protein				1.0		PF13568;
K6U6K0	K6U6K0_9EURY	Dinitrogenase iron-molybdenum cofactor biosynthesis domain-containing protein				1.0		PF02579;
Q6L881	Q6L881_9EUGL	Putative beta subunit of photoactivated adenylyl cyclase (EC 4.6.1.1)	motile cilium [GO:0031514]; adenylate cyclase activity [GO:0004016]; blue light photoreceptor activity [GO:0009882]; FAD binding [GO:0071949]; cyclic nucleotide biosynthetic process [GO:0009190]		4.6.1.1	2.0		PF04940;
F7NEH6	F7NEH6_9FIRM	LUD domain-containing protein				1.0		PF02589;
B7PPD6	B7PPD6_IXOSC	Gamma-glutamyltransferase, putative (EC 2.3.2.2)	plasma membrane [GO:0005886]; glutathione hydrolase activity [GO:0036374]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; glutathione catabolic process [GO:0006751]		2.3.2.2	1.0		PF01019;
A0LHL1	A0LHL1_SYNFM	Stress responsive alpha-beta barrel domain protein				1.0		PF07876;
B1I6G0	B1I6G0_DESAP	Copper amine oxidase domain protein				1.0		PF07833;
A0B6Z3	A0B6Z3_METTP	S-layer-related duplication domain	extracellular region [GO:0005576]; membrane [GO:0016020]; S-layer [GO:0030115]			1.0		PF18204;PF07752;
A0A1V4VFB8	A0A1V4VFB8_9EURY	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	IMP dehydrogenase activity [GO:0003938]; methionine biosynthetic process [GO:0009086]		1.1.1.205	1.0		PF00571;
A0LFF6	A0LFF6_SYNFM	Methylmalonyl-CoA mutase (EC 5.4.99.2)	cobalamin binding [GO:0031419]; methylmalonyl-CoA mutase activity [GO:0004494]		5.4.99.2	1.0		PF01642;
D2Z620	D2Z620_9BACT	Extracellular ligand-binding receptor	amino acid transport [GO:0006865]			1.0	Leucine-binding protein family	PF13458;
I4C1A4	I4C1A4_DESTA	Acetoacetate decarboxylase	lyase activity [GO:0016829]			1.0		PF06314;
A0A1V4UZZ3	A0A1V4UZZ3_9EURY	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; methionine biosynthetic process [GO:0009086]			1.0		PF00571;PF03444;
