qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
tr|X1KT70|X1KT70_9ZZZZ	X1KT70	100.0	258	0	0	1	258	1	258	3.239999999999999e-182	509.0	X1KT70	X1KT70_9ZZZZ	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	mitochondrion [GO:0005739]; hydro-lyase activity [GO:0016836]; fatty acid metabolic process [GO:0006631]	FUNCTION: May play a role in fatty acid biosynthesis and insulin sensitivity. {ECO:0000256|ARBA:ARBA00037410}.		1.0		PF00378;
tr|X1KKM0|X1KKM0_9ZZZZ	X1KKM0	100.0	452	0	0	1	452	1	452	0.0	906.0	X1KKM0	X1KKM0_9ZZZZ	ATP:glycerol 3-phosphotransferase	cytosol [GO:0005829]; glycerol kinase activity [GO:0004370]; intramolecular phosphotransferase activity [GO:0016868]; magnesium ion binding [GO:0000287]; glycerol catabolic process [GO:0019563]			2.0	FGGY kinase family; Phosphohexose mutase family	PF02782;PF00370;PF02878;
tr|X1KHK2|X1KHK2_9ZZZZ	X1KHK2	100.0	228	0	0	1	228	1	228	1.5999999999999994e-158	447.0	X1KHK2	X1KHK2_9ZZZZ	Thiolase N-terminal domain-containing protein	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]			1.0		PF00108;
tr|X1KFP0|X1KFP0_9ZZZZ	X1KFP0	100.0	241	0	0	1	241	1	241	5.0199999999999984e-182	508.0	X1KFP0	X1KFP0_9ZZZZ	CBM11 domain-containing protein				1.0		
tr|X1J6B9|X1J6B9_9ZZZZ	X1J6B9	100.0	189	0	0	1	189	1	189	2.739999999999999e-133	380.0	X1J6B9	X1J6B9_9ZZZZ	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase C-terminal domain-containing protein	glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate catabolic process [GO:0006538]			1.0		PF00208;
tr|X1I827|X1I827_9ZZZZ	X1I827	100.0	88	0	0	1	88	1	88	1.31e-60	188.0	X1I827	X1I827_9ZZZZ	TIGR04076 family protein				1.0		
tr|X1HQ47|X1HQ47_9ZZZZ	X1HQ47	100.0	219	0	0	1	219	1	219	4.529999999999999e-136	391.0	X1HQ47	X1HQ47_9ZZZZ	Uncharacterized protein				1.0		PF05593;
tr|X1HJF2|X1HJF2_9ZZZZ	X1HJF2	100.0	261	0	0	1	261	1	261	2.9599999999999993e-175	492.0	X1HJF2	X1HJF2_9ZZZZ	SPFH domain-containing protein				1.0		PF13421;
tr|X1H6E6|X1H6E6_9ZZZZ	X1H6E6	100.0	325	0	0	1	325	1	325	3.549999999999998e-240	662.0	X1H6E6	X1H6E6_9ZZZZ	F5/8 type C domain-containing protein				1.0		
tr|X1GVL1|X1GVL1_9ZZZZ	X1GVL1	100.0	342	0	0	1	342	1	342	1.4299999999999994e-259	712.0	X1GVL1	X1GVL1_9ZZZZ	PA14 domain-containing protein				1.0		PF07691;
tr|X1FW71|X1FW71_9ZZZZ	X1FW71	100.0	87	0	0	1	87	1	87	2.29e-56	177.0	X1FW71	X1FW71_9ZZZZ	Translation elongation factor EFTu/EF1A C-terminal domain-containing protein	cytosol [GO:0005829]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]			1.0		PF03143;
tr|X1FG20|X1FG20_9ZZZZ	X1FG20	100.0	193	0	0	1	193	1	193	6.429999999999999e-134	382.0	X1FG20	X1FG20_9ZZZZ	Tripartite tricarboxylate transporter substrate binding protein				1.0		PF03401;
tr|X1FB49|X1FB49_9ZZZZ	X1FB49	100.0	468	0	0	1	468	1	468	0.0	935.0	X1FB49	X1FB49_9ZZZZ	4Fe-4S ferredoxin-type domain-containing protein	oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; thiamine pyrophosphate binding [GO:0030976]; response to oxidative stress [GO:0006979]			1.0		PF10371;PF13237;PF02775;
tr|X1EXY1|X1EXY1_9ZZZZ	X1EXY1	100.0	131	0	0	1	131	1	131	3.749999999999999e-87	259.0	X1EXY1	X1EXY1_9ZZZZ	Enoyl-CoA hydratase				1.0	Enoyl-CoA hydratase/isomerase family	PF00378;
tr|X1EVA4|X1EVA4_9ZZZZ	X1EVA4	100.0	414	0	0	1	414	1	414	0.0	897.0	X1EVA4	X1EVA4_9ZZZZ	TonB-dependent receptor-like beta-barrel domain-containing protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF00593;
tr|X1E1K7|X1E1K7_9ZZZZ	X1E1K7	100.0	281	0	0	1	281	1	281	7.449999999999997e-204	566.0	X1E1K7	X1E1K7_9ZZZZ	Peptidase S1 domain-containing protein	membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0	Peptidase S1B family	PF00089;
tr|X1DY61|X1DY61_9ZZZZ	X1DY61	100.0	149	0	0	1	149	1	149	1.5099999999999997e-97	286.0	X1DY61	X1DY61_9ZZZZ	ABC transporter substrate-binding protein PnrA-like domain-containing protein	plasma membrane [GO:0005886]			1.0		PF02608;
tr|X1CSY9|X1CSY9_9ZZZZ	X1CSY9	100.0	266	0	0	1	266	1	266	1.7199999999999992e-181	508.0	X1CSY9	X1CSY9_9ZZZZ	Uncharacterized protein				1.0		
tr|X1CMG3|X1CMG3_9ZZZZ	X1CMG3	100.0	278	0	0	1	278	1	278	1.2299999999999994e-196	548.0	X1CMG3	X1CMG3_9ZZZZ	Uncharacterized protein				1.0		
tr|X1C6G6|X1C6G6_9ZZZZ	X1C6G6	100.0	107	0	0	1	107	1	107	2.5899999999999993e-69	212.0	X1C6G6	X1C6G6_9ZZZZ	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	mitochondrion [GO:0005739]; hydro-lyase activity [GO:0016836]; fatty acid metabolic process [GO:0006631]	FUNCTION: May play a role in fatty acid biosynthesis and insulin sensitivity. {ECO:0000256|ARBA:ARBA00037410}.		1.0		PF00378;
tr|X1C114|X1C114_9ZZZZ	A0A3B8JL19	61.4	44	17	0	1	44	1	44	3.91e-08	59.7	A0A3B8JL19	A0A3B8JL19_9CYAN	Uncharacterized protein				1.0		PF00400;
tr|X1AGG7|X1AGG7_9ZZZZ	X1AGG7	100.0	171	0	0	1	171	1	171	4.149999999999999e-126	360.0	X1AGG7	X1AGG7_9ZZZZ	Secretion system C-terminal sorting domain-containing protein				1.0		
tr|X0ZSC7|X0ZSC7_9ZZZZ	X0ZSC7	100.0	284	0	0	1	284	1	284	9.409999999999995e-204	566.0	X0ZSC7	X0ZSC7_9ZZZZ	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	cytoplasm [GO:0005737]; 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; magnesium ion binding [GO:0000287]; pantothenate biosynthetic process [GO:0015940]		2.1.2.11	2.0	PanB family	PF02548;
tr|X0ZLF6|X0ZLF6_9ZZZZ	X0ZLF6	100.0	46	0	0	1	46	1	46	4.940000000000001e-24	102.0	X0ZLF6	X0ZLF6_9ZZZZ	Uncharacterized protein				1.0		PF13360;PF13570;
tr|X0YSG8|X0YSG8_9ZZZZ	X0YSG8	100.0	466	0	0	1	466	1	466	1.1099999999999993e-303	834.0	X0YSG8	X0YSG8_9ZZZZ	Fibronectin type-III domain-containing protein	membrane [GO:0016020]			1.0		PF13517;
tr|X0YL97|X0YL97_9ZZZZ	X0YL97	100.0	228	0	0	1	228	1	228	4.6299999999999976e-167	469.0	X0YL97	X0YL97_9ZZZZ	Uncharacterized protein				1.0		
tr|X0W649|X0W649_9ZZZZ	X0W649	100.0	256	0	0	1	256	1	256	9.369999999999996e-190	528.0	X0W649	X0W649_9ZZZZ	Beta-xylosidase C-terminal Concanavalin A-like domain-containing protein				1.0		
tr|X0W5R9|X0W5R9_9ZZZZ	X0W5R9	100.0	248	0	0	1	248	1	248	2.0199999999999995e-171	481.0	X0W5R9	X0W5R9_9ZZZZ	Periplasmic binding protein domain-containing protein	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]			1.0		PF13407;
tr|X0W391|X0W391_9ZZZZ	X0W391	100.0	254	0	0	1	254	1	254	1.0599999999999996e-194	541.0	X0W391	X0W391_9ZZZZ	Thioredoxin domain-containing protein	cytoplasm [GO:0005737]; protein-disulfide reductase activity [GO:0015035]			1.0		PF08480;PF00085;
tr|X0VC43|X0VC43_9ZZZZ	X0VC43	100.0	109	0	0	1	109	1	109	1.4299999999999999e-67	207.0	X0VC43	X0VC43_9ZZZZ	PEGA domain-containing protein	carbohydrate binding [GO:0030246]			1.0		PF13620;
tr|X0UKX3|X0UKX3_9ZZZZ	X0UKX3	100.0	265	0	0	1	265	1	265	2.8199999999999983e-209	578.0	X0UKX3	X0UKX3_9ZZZZ	PA14 domain-containing protein				1.0		
tr|X0UFW8|X0UFW8_9ZZZZ	X0UFW8	100.0	263	0	0	1	263	1	263	1.0199999999999994e-201	559.0	X0UFW8	X0UFW8_9ZZZZ	Uncharacterized protein				1.0		
tr|X0TRV5|X0TRV5_9ZZZZ	X0TRV5	100.0	523	0	0	1	523	1	523	0.0	1027.0	X0TRV5	X0TRV5_9ZZZZ	AAA+ ATPase domain-containing protein	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; ATP metabolic process [GO:0046034]			1.0	ATPase alpha/beta chains family	PF00006;PF02874;PF16886;PF22919;
tr|X0T7S4|X0T7S4_9ZZZZ	X0T7S4	100.0	252	0	0	1	252	1	252	4.939999999999999e-174	488.0	X0T7S4	X0T7S4_9ZZZZ	Aspartate/glutamate/uridylate kinase domain-containing protein	cytosol [GO:0005829]; aspartate kinase activity [GO:0004072]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]			1.0	Aspartokinase family	PF00696;
tr|X0SU14|X0SU14_9ZZZZ	X0SU14	100.0	382	0	0	1	382	1	382	6.869999999999997e-285	780.0	X0SU14	X0SU14_9ZZZZ	Uncharacterized protein				1.0		
tr|X0SGC5|X0SGC5_9ZZZZ	X0SGC5	100.0	617	0	0	1	617	1	617	0.0	1289.0	X0SGC5	X0SGC5_9ZZZZ	F5/8 type C domain-containing protein				1.0		PF22633;
tr|X0SDX9|X0SDX9_9ZZZZ	X0SDX9	100.0	234	0	0	1	234	1	234	1.0899999999999998e-120	352.0	X0SDX9	X0SDX9_9ZZZZ	Uncharacterized protein				1.0		PF13360;
tr|X0SCD5|X0SCD5_9ZZZZ	X0SCD5	100.0	191	0	0	1	191	1	191	2.7299999999999995e-134	383.0	X0SCD5	X0SCD5_9ZZZZ	Extracellular solute-binding protein	outer membrane-bounded periplasmic space [GO:0030288]; thiamine binding [GO:0030975]; thiamine pyrophosphate binding [GO:0030976]; thiamine transport [GO:0015888]			1.0		
tr|X0S989|X0S989_9ZZZZ	X0S989	100.0	124	0	0	1	124	1	124	1.8999999999999995e-88	261.0	X0S989	X0S989_9ZZZZ	Desulfoferrodoxin ferrous iron-binding domain-containing protein	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; removal of superoxide radicals [GO:0019430]			1.0	Desulfoferrodoxin family	PF06397;PF01880;
tr|X0S5R9|X0S5R9_9ZZZZ	X0S5R9	100.0	346	0	0	1	346	1	346	5.309999999999998e-248	683.0	X0S5R9	X0S5R9_9ZZZZ	Ketol-acid reductoisomerase	ketol-acid reductoisomerase activity [GO:0004455]; metal ion binding [GO:0046872]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]			2.0	Ketol-acid reductoisomerase family	PF01450;PF07991;
tr|X0RFZ0|X0RFZ0_9ZZZZ	X0RFZ0	100.0	418	0	0	1	418	1	418	5.31e-314	856.0	X0RFZ0	X0RFZ0_9ZZZZ	F5/8 type C domain-containing protein				1.0		
tr|X0PB26|X0PB26_9LACO	X0PB26	100.0	1191	0	0	1	1191	1	1191	0.0	2331.0	X0PB26	X0PB26_9LACO	Cell envelope-associated proteinase PrtR (PrtP)	membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0	Peptidase S8 family	PF06280;PF00082;
tr|W9NZ45|W9NZ45_FUSOX	W9NZ45	100.0	597	0	0	1	597	1	597	0.0	1167.0	W9NZ45	W9NZ45_FUSOX	Zn(2)-C6 fungal-type domain-containing protein	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]			1.0		PF11951;PF00172;
tr|W9H6W3|W9H6W3_9PROT	W9H6W3	100.0	341	0	0	1	341	1	341	4.019999999999998e-245	676.0	W9H6W3	W9H6W3_9PROT	Amino acid ABC transporter substrate-binding protein	amino acid transport [GO:0006865]			1.0	Bacterial solute-binding protein 3 family	PF00497;
tr|W8ZLB9|W8ZLB9_9BACL	W8ZLB9	100.0	442	0	0	1	442	1	442	1.5999999999999992e-293	806.0	W8ZLB9	W8ZLB9_9BACL	F5/8 type C domain-containing protein				1.0		PF00754;
tr|W8YDQ5|W8YDQ5_BACTU	W8YDQ5	100.0	482	0	0	1	482	1	482	0.0	999.0	W8YDQ5	W8YDQ5_BACTU	Peptidase C1A papain C-terminal domain-containing protein	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]			1.0	Peptidase C1 family	PF00112;
tr|W8U908|W8U908_PEPAC	W8U908	100.0	1040	0	0	1	1040	1	1040	0.0	1954.0	W8U908	W8U908_PEPAC	Middle cell wall protein				1.0		PF00395;
tr|W8QZ56|W8QZ56_STUST	W8QZ56	100.0	353	0	0	1	353	1	353	1.1599999999999994e-250	691.0	W8QZ56	W8QZ56_STUST	C4-dicarboxylate ABC transporter	transmembrane transport [GO:0055085]			1.0		PF03480;
tr|W8EYH0|W8EYH0_9BACT	W8EYH0	100.0	470	0	0	1	470	1	470	0.0	922.0	W8EYH0	W8EYH0_9BACT	Serine protease (EC 3.4.21.-)	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		3.4.21.-	2.0	Peptidase S1B family	PF00089;
tr|W7YJ12|W7YJ12_9BACT	W7YJ12	100.0	986	0	0	1	986	1	986	0.0	1955.0	W7YJ12	W7YJ12_9BACT	Outer membrane cobalamin receptor protein	cell outer membrane [GO:0009279]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF00593;
tr|W7YFX3|W7YFX3_9BACL	W7YFX3	100.0	464	0	0	1	464	1	464	0.0	954.0	W7YFX3	W7YFX3_9BACL	Alpha-glucosides-binding periplasmic protein AglE				1.0	Bacterial solute-binding protein 1 family	
tr|W7XZ57|W7XZ57_9BACT	W7XZ57	100.0	195	0	0	1	195	1	195	1.0999999999999997e-126	364.0	W7XZ57	W7XZ57_9BACT	Lipoprotein				1.0		
tr|W7TAE0|W7TAE0_KUTS7	W7TAE0	100.0	1389	0	0	1	1389	1	1389	0.0	2598.0	W7TAE0	W7TAE0_KUTS7	Alpha-1,2-mannosidase	cytosol [GO:0005829]; carbohydrate binding [GO:0030246]; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity [GO:0000224]; carbohydrate metabolic process [GO:0005975]; glycoprotein catabolic process [GO:0006516]			1.0		PF00754;PF07971;PF17678;
tr|W7KQA8|W7KQA8_CYTFI	W7KQA8	100.0	342	0	0	1	342	1	342	6.629999999999998e-240	662.0	W7KQA8	W7KQA8_CYTFI	C4-dicarboxylate transport system C4-dicarboxylate-binding protein	outer membrane-bounded periplasmic space [GO:0030288]; transmembrane transport [GO:0055085]			1.0	Bacterial solute-binding protein 7 family	PF03480;
tr|W6U0Y7|W6U0Y7_9SPHI	W6U0Y7	100.0	639	0	0	1	639	1	639	0.0	1304.0	W6U0Y7	W6U0Y7_9SPHI	Ig-like domain-containing protein				1.0		PF13585;
tr|W6M789|W6M789_9GAMM	W6M789	100.0	660	0	0	1	660	1	660	0.0	1237.0	W6M789	W6M789_9GAMM	PKD domain-containing protein				1.0		PF00041;PF18911;
tr|W4V5X5|W4V5X5_9FIRM	W4V5X5	100.0	336	0	0	1	336	1	336	1.2199999999999995e-232	644.0	W4V5X5	W4V5X5_9FIRM	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	cytosol [GO:0005829]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]	FUNCTION: Catalyzes the oxidative phosphorylation of glyceraldehyde 3-phosphate (G3P) to 1,3-bisphosphoglycerate (BPG) using the cofactor NAD. The first reaction step involves the formation of a hemiacetal intermediate between G3P and a cysteine residue, and this hemiacetal intermediate is then oxidized to a thioester, with concomitant reduction of NAD to NADH. The reduced NADH is then exchanged with the second NAD, and the thioester is attacked by a nucleophilic inorganic phosphate to produce BPG. {ECO:0000256|ARBA:ARBA00003501}.	1.2.1.-	3.0	Glyceraldehyde-3-phosphate dehydrogenase family	PF02800;PF00044;
tr|W4UPQ7|W4UPQ7_9BACE	A0A840D967	100.0	952	0	0	1	952	1	952	0.0	1875.0	A0A840D967	A0A840D967_9BACE	Surface protein				1.0		
tr|W4PKK4|W4PKK4_9BACE	W4PKK4	100.0	948	0	0	1	948	1	948	0.0	1884.0	W4PKK4	W4PKK4_9BACE	RNA methyltransferase	cell outer membrane [GO:0009279]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF00593;
